Time,Q*=0.1,Q*=0.2,Q*=0.5,Q*=1,Q*=2,Q*=5,Q*=10,Q*=20,Q*=50,Q*=100,Q*=200,Q*=500,Q*=1000,Q*=2000,Q*=5000,Q*=10000
0,0.46,0.93,1.80,2.70,3.89,6.06,8.32,11.30,16.76,22.44,29.93,43.63,57.90,76.73,111.15,146.98
1000,0.46,0.93,1.80,2.70,3.89,6.06,8.32,11.30,16.76,22.44,29.93,43.63,57.90,76.73,111.15,146.98
