X,Z,T
0.1154,1.4144,100
0.1177,1.4035,100
0.1216,1.3817,100
0.1236,1.3721,100
0.1255,0.1136,100
0.1257,0.0958,100
0.1267,1.3522,100
0.1276,0.0871,100
0.1268,0.1298,100
0.1302,0.1535,100
0.1287,1.3413,100
0.1315,1.3219,100
0.1323,0.1696,100
0.1284,0.1408,100
0.1336,1.3094,100
0.1351,0.1861,100
0.1369,1.2863,100
0.1379,0.2019,100
0.1395,1.2666,100
0.1407,0.216,100
0.1415,1.2502,100
0.1432,0.2271,100
0.1436,1.2338,100
0.1456,1.2159,100
0.1468,0.2466,100
0.1474,1.1995,100
0.1495,0.2589,100
0.1489,1.1841,100
0.1505,1.17,100
0.1521,0.2736,100
0.152,1.1542,100
0.1536,1.1384,100
0.1544,0.2858,100
0.1551,1.1208,100
0.1566,1.1033,100
0.1579,0.306,100
0.1582,1.0845,100
0.1595,1.068,100
0.1605,0.3201,100
0.1607,1.0507,100
0.162,1.0334,100
0.1638,0.3415,100
0.163,1.0161,100
0.1641,1.0007,100
0.1651,0.9853,100
0.1661,0.356,100
0.1661,0.9693,100
0.1671,0.9519,100
0.1683,0.3752,100
0.1682,0.9365,100
0.1692,0.9211,100
0.17,0.9032,100
0.1704,0.3909,100
0.171,0.8846,100
0.1721,0.8676,100
0.1731,0.4163,100
0.1731,0.8483,100
0.1741,0.8275,100
0.1747,0.4298,100
0.1752,0.807,100
0.1759,0.4482,100
0.1762,0.7839,100
0.177,0.7678,100
0.1772,0.4625,100
0.178,0.7371,100
0.1787,0.4871,100
0.1788,0.7178,100
0.1794,0.5038,100
0.1796,0.6928,100
0.1798,0.6736,100
0.1801,0.6479,100
0.1803,0.529,100
0.1806,0.6274,100
0.1807,0.5932,100
0.1806,0.5752,100
0.1808,0.5483,100
0.0004,1.3153,200
0.004,1.3124,200
0.0071,1.3116,200
0.0101,1.3092,200
0.0132,1.3064,200
0.0163,1.3032,200
0.0193,1.299,200
0.0224,1.2942,200
0.0254,1.2887,200
0.0285,1.2821,200
0.0315,1.2752,200
0.0346,1.2675,200
0.0377,1.2596,200
0.0407,1.2506,200
0.0438,1.241,200
0.0469,1.2307,200
0.0499,1.2201,200
0.053,1.2085,200
0.056,1.1957,200
0.0591,1.1826,200
0.0622,1.1685,200
0.0652,1.1542,200
0.0683,1.1392,200
0.0711,1.1241,200
0.0737,1.111,200
0.0762,1.0964,200
0.0788,1.0825,200
0.0813,1.0674,200
0.0839,1.052,200
0.0864,1.0358,200
0.089,1.0199,200
0.0915,1.004,200
0.0941,0.9868,200
0.0941,0.1158,200
0.0957,0.1389,200
0.0956,0.0913,200
0.0964,0.9721,200
0.0985,0.1551,200
0.0985,0.0821,200
0.0985,0.9583,200
0.1,0.9907,200
0.1008,0.943,200
0.1015,0.1677,200
0.1003,0.0809,200
0.1033,0.925,200
0.1046,0.1799,200
0.1056,0.9093,200
0.1076,0.191,200
0.1077,0.8945,200
0.1097,0.8798,200
0.1107,0.2023,200
0.1118,0.8644,200
0.114,0.2162,200
0.1138,0.8487,200
0.1158,0.8326,200
0.1173,0.2252,200
0.1179,0.8156,200
0.1203,0.2359,200
0.1199,0.798,200
0.122,0.7794,200
0.1234,0.247,200
0.1238,0.7634,200
0.1253,0.748,200
0.1264,0.259,200
0.1269,0.7326,200
0.1284,0.7159,200
0.1295,0.2731,200
0.1299,0.6992,200
0.1315,0.6812,200
0.1323,0.2879,200
0.133,0.662,200
0.1345,0.3038,200
0.1346,0.6411,200
0.1358,0.621,200
0.1363,0.3195,200
0.1369,0.6056,200
0.1376,0.5886,200
0.1381,0.3387,200
0.1387,0.5684,200
0.1393,0.3576,200
0.1395,0.5483,200
0.1403,0.3781,200
0.1405,0.5312,200
0.1402,0.5235,200
0.1408,0.3964,200
0.1409,0.5055,200
0.1411,0.4131,200
0.1415,0.4901,200
0.1415,0.4747,200
0.1416,0.4593,200
0.1416,0.4439,200
0.1416,0.4292,200
0.0003,1.0302,300
0.0039,1.03,300
0.0073,1.0261,300
0.0103,1.0233,300
0.0134,1.0191,300
0.0165,1.0148,300
0.0195,1.0095,300
0.0226,1.0035,300
0.0256,0.9968,300
0.0287,0.9887,300
0.0318,0.9804,300
0.0348,0.9712,300
0.0379,0.9613,300
0.0409,0.9509,300
0.044,0.9393,300
0.0471,0.9271,300
0.0501,0.9141,300
0.0533,0.9003,300
0.0563,0.8842,300
0.0591,0.8703,300
0.0619,0.8557,300
0.0647,0.8393,300
0.0672,0.8239,300
0.0698,0.8083,300
0.0721,0.7911,300
0.0746,0.7771,300
0.0767,0.7634,300
0.0787,0.7492,300
0.0808,0.7348,300
0.0809,0.1217,300
0.0811,0.1018,300
0.0815,0.1402,300
0.0828,0.7197,300
0.0827,0.1617,300
0.0837,0.0894,300
0.084,0.1792,300
0.0849,0.7034,300
0.0855,0.198,300
0.0861,0.0809,300
0.0867,0.6868,300
0.087,0.2164,300
0.0882,0.6718,300
0.0885,0.2344,300
0.0897,0.6556,300
0.0898,0.2508,300
0.091,0.2677,300
0.091,0.6421,300
0.0928,0.2861,300
0.0923,0.6252,300
0.0936,0.3071,300
0.0936,0.6075,300
0.0946,0.3233,300
0.0946,0.5927,300
0.0954,0.5761,300
0.0956,0.3451,300
0.0964,0.5575,300
0.0966,0.3665,300
0.0971,0.3836,300
0.0975,0.5359,300
0.0976,0.4033,300
0.0976,0.517,300
0.0981,0.4269,300
0.0983,0.4965,300
0.0983,0.4773,300
0.0983,0.4619,300
0.0983,0.4465,300
0.00E+00,0.8127,400
0.0028,0.8119,400
0.0059,0.8136,400
0.009,0.811,400
0.012,0.8083,400
0.0151,0.8046,400
0.0181,0.8001,400
0.0212,0.7946,400
0.0242,0.7894,400
0.0267,0.7854,400
0.0288,0.7755,400
0.0319,0.7681,400
