X,Z,T
0,1.3562,100
0.0009,1.3549,100
0.002,1.3547,100
0.0031,1.3541,100
0.0042,1.3542,100
0.0054,1.3546,100
0.0065,1.3539,100
0.0077,1.3524,100
0.0088,1.3529,100
0.01,1.3515,100
0.0109,1.3506,100
0.0121,1.3503,100
0.0133,1.3487,100
0.0143,1.3478,100
0.0156,1.3469,100
0.0167,1.3462,100
0.0178,1.3444,100
0.0189,1.3439,100
0.02,1.3422,100
0.0212,1.3406,100
0.0223,1.339,100
0.0234,1.3383,100
0.0246,1.3364,100
0.0257,1.3344,100
0.0268,1.3327,100
0.028,1.3306,100
0.0291,1.329,100
0.0302,1.3272,100
0.0313,1.3256,100
0.0324,1.3233,100
0.0334,1.3209,100
0.0345,1.3193,100
0.0357,1.317,100
0.0368,1.3153,100
0.0379,1.3124,100
0.039,1.3101,100
0.0402,1.3076,100
0.0413,1.3056,100
0.0424,1.3029,100
0.0434,1.3003,100
0.0445,1.2981,100
0.0455,1.2947,100
0.0464,1.2919,100
0.0474,1.29,100
0.0481,1.287,100
0.0492,1.2855,100
0.0501,1.2823,100
0.0511,1.2801,100
0.0522,1.2769,100
0.0529,1.2735,100
0.0539,1.2718,100
0.0547,1.2684,100
0.0557,1.266,100
0.0566,1.2625,100
0.0576,1.2597,100
0.0584,1.2567,100
0.0592,1.2538,100
0.0602,1.25,100
0.0611,1.2474,100
0.0619,1.2436,100
0.0629,1.2413,100
0.0637,1.2372,100
0.0648,1.2345,100
0.0655,1.2303,100
0.0664,1.2278,100
0.0671,1.2235,100
0.0681,1.2212,100
0.0688,1.2167,100
0.0698,1.2145,100
0.0703,1.2107,100
0.0713,1.2085,100
0.0716,1.2048,100
0.0726,1.2031,100
0.0732,1.1991,100
0.0741,1.1965,100
0.0747,1.1926,100
0.0756,1.1906,100
0.0762,1.186,100
0.0771,1.1834,100
0.0779,1.1787,100
0.0788,1.1758,100
0.0794,1.1716,100
0.0803,1.169,100
0.0809,1.1643,100
0.0818,1.1614,100
0.0824,1.1571,100
0.0833,1.1539,100
0.0838,1.1498,100
0.0848,1.1455,100
0.0858,1.1418,100
0.0863,1.137,100
0.0873,1.1341,100
0.0878,1.1296,100
0.0887,1.1257,100
0.0896,1.1206,100
0.0906,1.115,100
0.0915,1.1096,100
0.0925,1.1061,100
0.0929,1.1014,100
0.0938,1.0969,100
0.0947,1.0917,100
0.0956,1.0857,100
0.0966,1.0803,100
0.0975,1.0742,100
0.0985,1.0685,100
0.0994,1.0623,100
0.1003,1.0567,100
0.1011,1.051,100
0.102,1.0457,100
0.1028,1.0398,100
0.1037,1.0344,100
0.1045,1.0284,100
0.1052,1.0223,100
0.106,1.0167,100
0.1066,1.0111,100
0.1073,1.0056,100
0.1077,0.9998,100
0.1086,0.9947,100
0.1092,0.9885,100
0.1097,0.9827,100
0.1102,0.9778,100
0.1108,0.9773,100
0.1109,0.9712,100
0.1115,0.9698,100
0.1116,0.9639,100
0.1123,0.9581,100
0.1128,0.9524,100
0.1133,0.9467,100
0.1139,0.941,100
0.1145,0.9351,100
0.115,0.9293,100
0.1156,0.9233,100
0.1159,0.1317,100
0.1159,0.1261,100
0.1159,0.1204,100
0.1159,0.1148,100
0.1159,0.1092,100
0.116,0.1392,100
0.1162,0.9171,100
0.1162,0.1459,100
0.1162,0.1048,100
0.1164,0.1534,100
0.1166,0.1605,100
0.1166,0.0978,100
0.1167,0.1671,100
0.1167,0.9105,100
0.1168,0.0911,100
0.1171,0.089,100
0.1171,0.1739,100
0.1173,0.9046,100
0.1175,0.1812,100
0.1178,0.8979,100
0.1179,0.1883,100
0.1183,0.1946,100
0.1184,0.8911,100
0.1186,0.2013,100
0.119,0.8847,100
0.119,0.2069,100
0.1194,0.8788,100
0.1195,0.2131,100
0.1199,0.8723,100
0.1201,0.2205,100
0.1204,0.8659,100
0.1207,0.2275,100
0.1209,0.859,100
0.1212,0.2345,100
0.1214,0.8529,100
0.1218,0.8469,100
0.1218,0.2417,100
0.1221,0.8415,100
0.1226,0.8355,100
0.1226,0.2497,100
0.1229,0.8302,100
0.1232,0.2564,100
0.1233,0.825,100
0.1237,0.8194,100
0.1237,0.2627,100
0.1241,0.8127,100
0.1243,0.2686,100
0.1246,0.8048,100
0.1249,0.2743,100
0.1249,0.7986,100
0.1251,0.7932,100
0.1254,0.2806,100
0.1256,0.7874,100
0.1259,0.7811,100
0.126,0.2862,100
0.1263,0.7746,100
0.1266,0.292,100
0.1267,0.7676,100
0.127,0.7609,100
0.1271,0.2979,100
0.1274,0.7541,100
0.1278,0.7473,100
0.1279,0.3049,100
0.1282,0.7401,100
0.1285,0.7328,100
0.129,0.7254,100
0.129,0.7203,100
0.1292,0.3186,100
0.1294,0.7141,100
0.1297,0.325,100
0.1298,0.7061,100
0.1302,0.6978,100
0.1303,0.3316,100
0.1305,0.6905,100
0.1308,0.6849,100
0.1308,0.3378,100
0.1311,0.6772,100
0.1312,0.3438,100
0.1315,0.6687,100
0.1316,0.3496,100
0.1317,0.6618,100
0.1319,0.656,100
0.132,0.3555,100
0.1323,0.6499,100
0.1325,0.6427,100
0.1325,0.3632,100
0.1329,0.6352,100
0.1329,0.3702,100
0.1331,0.6285,100
0.1332,0.3777,100
0.1334,0.6215,100
0.1336,0.614,100
0.1336,0.3853,100
0.1338,0.6067,100
0.134,0.6005,100
0.134,0.394,100
0.1343,0.5942,100
0.1343,0.5862,100
0.1344,0.4042,100
0.1346,0.4093,100
0.1347,0.5792,100
0.1347,0.5717,100
0.1347,0.4164,100
0.1349,0.5658,100
0.135,0.424,100
0.1351,0.5508,100
0.1352,0.5581,100
0.1352,0.432,100
0.1352,0.5395,100
0.1354,0.545,100
0.1355,0.4467,100
0.1355,0.4391,100
0.1355,0.5331,100
0.1356,0.5088,100
0.1357,0.5261,100
0.1357,0.5204,100
0.1357,0.5148,100
0.1357,0.4585,100
0.1357,0.4538,100
0.1357,0.4665,100
0.1357,0.4744,100
0.1358,0.4964,100
0.1358,0.4851,100
0.1358,0.4794,100
0.1358,0.5026,100
0.1359,0.491,100
0,0.8917,200
0.0018,0.8896,200
0.004,0.889,200
0.006,0.8879,200
0.0081,0.8862,200
0.0102,0.884,200
0.0122,0.8816,200
0.0143,0.8787,200
0.0164,0.8758,200
0.0184,0.8721,200
0.0205,0.8685,200
0.0226,0.8642,200
0.0246,0.8596,200
0.0267,0.8545,200
0.0288,0.8491,200
0.0309,0.8435,200
0.0329,0.8374,200
0.035,0.8309,200
0.0371,0.8242,200
0.0391,0.8173,200
0.0412,0.81,200
0.0433,0.8008,200
0.0463,0.7903,200
0.0483,0.7814,200
0.0504,0.7723,200
0.0525,0.7624,200
0.0545,0.7523,200
0.0565,0.7424,200
0.0584,0.7323,200
0.0603,0.7224,200
0.0621,0.7121,200
0.0638,0.7024,200
0.0655,0.6924,200
0.0671,0.6819,200
0.0687,0.6718,200
0.0702,0.662,200
0.0718,0.6515,200
0.0734,0.6406,200
0.0749,0.6301,200
0.0765,0.6195,200
0.078,0.6086,200
0.0794,0.5983,200
0.0807,0.5873,200
0.0823,0.5739,200
0.0831,0.1643,200
0.0835,0.1535,200
0.0835,0.561,200
0.0837,0.1763,200
0.0837,0.1344,200
0.0841,0.194,200
0.0842,0.1189,200
0.0846,0.55,200
0.0849,0.2063,200
0.085,0.1084,200
0.0853,0.215,200
0.0856,0.5388,200
0.0858,0.0949,200
0.0861,0.2247,200
0.0863,0.2408,200
0.0865,0.5274,200
0.0867,0.2521,200
0.0873,0.5161,200
0.0873,0.2638,200
0.0878,0.278,200
0.0879,0.5054,200
0.088,0.0844,200
0.0886,0.4936,200
0.0888,0.2906,200
0.0889,0.4816,200
0.0892,0.0802,200
0.0893,0.3024,200
0.0894,0.3191,200
0.0894,0.4708,200
0.0897,0.332,200
0.0898,0.4605,200
0.09,0.3437,200
0.09,0.4489,200
0.0902,0.3552,200
0.0904,0.3672,200
0.0904,0.4349,200
0.0904,0.4201,200
0.0905,0.3774,200
0.0906,0.4084,200
0.0906,0.398,200
0.0906,0.3871,200
0,0.7014,300
0.0019,0.7007,300
0.004,0.6995,300
0.006,0.6976,300
0.0081,0.6956,300
0.0102,0.6929,300
0.0122,0.69,300
0.0143,0.6863,300
0.0164,0.6824,300
0.0184,0.678,300
0.0205,0.6729,300
0.0226,0.6677,300
0.0246,0.6617,300
0.0267,0.6553,300
0.0288,0.6483,300
0.0309,0.6405,300
0.0329,0.6321,300
0.035,0.623,300
0.0371,0.614,300
0.039,0.6032,300
0.0408,0.5934,300
0.0425,0.5835,300
0.0442,0.5732,300
0.0458,0.5623,300
0.0473,0.552,300
0.0487,0.5419,300
0.0501,0.5312,300
0.0515,0.5198,300
0.0527,0.5088,300
0.0537,0.4935,300
0.055,0.4849,300
0.0562,0.4767,300
0.0567,0.4673,300
0.0574,0.4575,300
0.0583,0.4465,300
0.0591,0.4352,300
0.0598,0.4243,300
0.0606,0.4127,300
0.0613,0.4012,300
0.0618,0.3906,300
0.0625,0.3799,300
0.0631,0.3686,300
0.0639,0.3579,300
0.0645,0.3467,300
0.0647,0.335,300
0.0652,0.3225,300
0.0658,0.3104,300
0.0664,0.2957,300
0.0669,0.2859,300
0.0672,0.2754,300
0.0677,0.2646,300
