,x = -75 mm,,x = -25 mm,,x = 25 mm,,x = 125 mm,,x = 225 mm,,
z,u, u_rms,u, u_rms,u, u_rms,u, u_rms,u, u_rms,
m,m/s, m/s,m/s, m/s,m/s, m/s,m/s, m/s,m/s, m/s,
0.010,1.719,0.059,1.340,0.061,1.613,0.030,0.926,0.004,0.686,0.003,
0.020,NaN,NaN,NaN,NaN,1.291,0.029,NaN,NaN,0.551,0.002,
0.030,1.807,0.029,1.550,0.030,1.303,0.055,0.817,0.005,0.709,0.002,
0.040,NaN,NaN,NaN,NaN,1.681,0.025,NaN,NaN,0.703,0.002,
0.050,1.894,0.034,1.769,0.034,2.296,0.048,1.017,0.005,0.874,0.002,
0.060,NaN,NaN,NaN,NaN,1.813,0.016,NaN,NaN,0.521,0.004,
0.070,1.991,0.034,2.135,0.030,3.246,0.018,2.463,0.036,3.016,0.045,
0.080,NaN,NaN,NaN,NaN,2.599,0.027,NaN,NaN,4.215,0.052,
0.090,2.053,0.039,2.356,0.040,3.739,0.021,4.770,0.020,5.024,0.024,
