,x = -75 mm,,x = -25 mm,,x = 25 mm,,x = 125 mm,,x = 225 mm,,
z,u, u_rms,u, u_rms,u, u_rms,u, u_rms,u, u_rms,
m,m/s, m/s,m/s, m/s,m/s, m/s,m/s, m/s,m/s, m/s,
0.010,1.755,0.057,1.447,0.050,1.175,0.044,0.924,0.006,0.702,0.002,
0.020,NaN,NaN,NaN,NaN,0.966,0.032,NaN,NaN,0.745,0.003,
0.030,1.849,0.036,1.645,0.032,0.752,0.016,1.131,0.007,0.854,0.002,
0.040,NaN,NaN,NaN,NaN,1.807,0.032,NaN,NaN,0.698,0.004,
0.050,1.935,0.033,1.858,0.030,1.670,0.016,1.039,0.013,0.898,0.023,
0.060,NaN,NaN,NaN,NaN,1.624,0.032,NaN,NaN,2.344,0.060,
0.070,2.014,0.032,2.137,0.026,3.007,0.025,3.385,0.069,3.691,0.061,
0.080,NaN,NaN,NaN,NaN,3.089,0.025,NaN,NaN,4.219,0.043,
0.090,2.047,0.042,2.295,0.044,3.212,0.025,3.901,0.021,4.418,0.013,
