z,U1, U1_rms,U2, U2_rms,U3, U3_rms,U4, U4_rms,U5, U5_rms,
m,m/s, m/s,m/s, m/s,m/s, m/s,m/s, m/s,m/s, m/s,
0.010,0.442,0.032,0.371,0.060,0.295,0.017,0.238,0.015,0.177,0.008,
0.020,NaN,NaN,NaN,NaN,0.237,0.018,NaN,NaN,0.188,0.021,
0.030,0.491,0.051,0.443,0.058,0.240,0.030,0.247,0.023,0.183,0.023,
0.040,NaN,NaN,NaN,NaN,0.538,0.057,NaN,NaN,0.149,0.019,
0.050,0.517,0.055,0.508,0.057,0.368,0.045,0.257,0.029,0.223,0.023,
0.060,NaN,NaN,NaN,NaN,0.510,0.055,NaN,NaN,0.553,0.078,
0.070,0.536,0.056,0.573,0.062,0.787,0.074,0.926,0.090,0.973,0.093,
0.080,NaN,NaN,NaN,NaN,0.828,0.044,NaN,NaN,1.160,0.106,
0.090,0.534,0.052,0.600,0.063,0.846,0.078,1.076,0.105,1.185,0.060,
