,x = -75 mm,,x = -25 mm,,x = 25 mm,,x = 125 mm,,x = 225 mm,,
z,u, u_rms,u, u_rms,u, u_rms,u, u_rms,u, u_rms,
m,m/s, m/s,m/s, m/s,m/s, m/s,m/s, m/s,m/s, m/s,
0.010,1.307,0.042,1.055,0.047,1.149,0.022,0.752,0.002,0.459,0.001,
0.020,NaN,NaN,NaN,NaN,0.978,0.011,NaN,NaN,0.478,0.001,
0.030,1.385,0.027,1.235,0.027,0.785,0.024,0.698,0.005,0.574,0.002,
0.040,NaN,NaN,NaN,NaN,1.291,0.017,NaN,NaN,0.539,0.001,
0.050,1.412,0.021,1.414,0.027,1.671,0.042,0.802,0.003,0.512,0.002,
0.060,NaN,NaN,NaN,NaN,1.850,0.014,NaN,NaN,1.012,0.027,
0.070,1.500,0.033,1.625,0.023,1.422,0.024,2.510,0.069,2.878,0.088,
0.080,NaN,NaN,NaN,NaN,2.562,0.023,NaN,NaN,3.641,0.031,
0.090,1.541,0.029,1.755,0.030,2.632,0.021,3.425,0.018,3.770,0.016,
