z,U1, U1_rms,U2, U2_rms,U3, U3_rms,U4, U4_rms,U5, U5_rms,
m,m/s, m/s,m/s, m/s,m/s, m/s,m/s, m/s,m/s, m/s,
0.010,1.759,0.057,1.589,0.051,1.936,0.038,1.382,0.014,0.996,0.011,
0.020,NaN,NaN,NaN,NaN,1.730,0.020,NaN,NaN,0.901,0.006,
0.030,1.887,0.039,1.779,0.030,1.726,0.031,1.156,0.012,1.091,0.006,
0.040,NaN,NaN,NaN,NaN,1.848,0.045,NaN,NaN,1.134,0.005,
0.050,1.966,0.030,1.931,0.033,1.909,0.024,1.327,0.014,1.152,0.016,
0.060,NaN,NaN,NaN,NaN,2.124,0.029,NaN,NaN,2.163,0.059,
0.070,2.060,0.029,2.099,0.029,2.442,0.034,2.515,0.038,2.916,0.084,
0.080,NaN,NaN,NaN,NaN,2.519,0.030,NaN,NaN,3.533,0.059,
0.090,2.078,0.047,2.185,0.045,2.665,0.035,3.372,0.022,3.747,0.021,
