,x = -75 mm,,x = -25 mm,,x = 25 mm,,x = 125 mm,,x = 225 mm,,
z,u, u_rms,u, u_rms,u, u_rms,u, u_rms,u, u_rms,
m,m/s, m/s,m/s, m/s,m/s, m/s,m/s, m/s,m/s, m/s,
0.010,0.918,0.039,0.715,0.034,0.745,0.024,0.527,0.002,0.300,0.003,
0.020,NaN,NaN,NaN,NaN,0.651,0.005,NaN,NaN,0.326,0.001,
0.030,0.961,0.025,0.854,0.023,0.471,0.013,0.454,0.002,0.352,0.002,
0.040,NaN,NaN,NaN,NaN,0.870,0.009,NaN,NaN,0.365,0.002,
0.050,0.989,0.021,0.980,0.017,1.083,0.024,0.510,0.002,0.292,0.001,
0.060,NaN,NaN,NaN,NaN,1.301,0.012,NaN,NaN,0.675,0.023,
0.070,1.044,0.020,1.141,0.018,0.992,0.013,1.726,0.047,1.970,0.048,
0.080,NaN,NaN,NaN,NaN,1.784,0.013,NaN,NaN,2.514,0.030,
0.090,1.066,0.024,1.229,0.020,1.838,0.013,2.379,0.013,2.614,0.010,
