,x = -75 mm,,x = -25 mm,,x = 25 mm,,x = 125 mm,,x = 225 mm,,
z,u, u_rms,u, u_rms,u, u_rms,u, u_rms,u, u_rms,
m,m/s, m/s,m/s, m/s,m/s, m/s,m/s, m/s,m/s, m/s,
0.010,1.745,0.056,1.497,0.054,1.564,0.023,1.434,0.020,0.933,0.013,
0.020,NaN,NaN,NaN,NaN,1.501,0.024,NaN,NaN,0.739,0.006,
0.030,1.871,0.042,1.746,0.031,1.531,0.037,1.157,0.010,1.165,0.005,
0.040,NaN,NaN,NaN,NaN,1.598,0.057,NaN,NaN,1.248,0.005,
0.050,1.944,0.030,1.921,0.026,2.015,0.020,1.397,0.021,0.984,0.018,
0.060,NaN,NaN,NaN,NaN,2.365,0.027,NaN,NaN,2.115,0.084,
0.070,2.042,0.027,2.092,0.024,2.353,0.044,2.725,0.029,3.004,0.114,
0.080,NaN,NaN,NaN,NaN,2.576,0.023,NaN,NaN,3.468,0.061,
0.090,2.061,0.049,2.178,0.049,2.638,0.039,3.296,0.023,3.657,0.025,
