,x = -75 mm,,x = -25 mm,,x = 25 mm,,x = 125 mm,,x = 225 mm,,
z,u, u_rms,u, u_rms,u, u_rms,u, u_rms,u, u_rms,
m,m/s, m/s,m/s, m/s,m/s, m/s,m/s, m/s,m/s, m/s,
0.010,0.446,0.030,0.367,0.062,0.362,0.050,0.278,0.027,0.141,0.018,
0.020,NaN,NaN,NaN,NaN,0.301,0.035,NaN,NaN,0.162,0.016,
0.030,0.495,0.046,0.433,0.047,0.239,0.026,0.243,0.021,0.158,0.019,
0.040,NaN,NaN,NaN,NaN,0.467,0.040,NaN,NaN,0.198,0.016,
0.050,0.494,0.013,0.512,0.056,0.502,0.066,0.258,0.024,0.116,0.016,
0.060,NaN,NaN,NaN,NaN,0.683,0.065,NaN,NaN,0.300,0.039,
0.070,0.541,0.057,0.600,0.057,0.514,0.048,0.919,0.083,1.052,0.101,
0.080,NaN,NaN,NaN,NaN,0.964,0.086,NaN,NaN,1.350,0.122,
0.090,0.542,0.051,0.639,0.063,0.993,0.084,1.278,0.107,1.404,0.119,
