,x = -75 mm,,x = -25 mm,,x = 25 mm,,x = 125 mm,,x = 225 mm,,
z,u, u_rms,u, u_rms,u, u_rms,u, u_rms,u, u_rms,
m,m/s, m/s,m/s, m/s,m/s, m/s,m/s, m/s,m/s, m/s,
0.010,0.469,0.028,0.365,0.061,0.304,0.005,0.235,0.002,0.173,0.014,
0.020,NaN,NaN,NaN,NaN,0.269,0.023,NaN,NaN,0.166,0.019,
0.030,0.495,0.051,0.429,0.057,0.151,0.018,0.266,0.028,0.178,0.025,
0.040,NaN,NaN,NaN,NaN,0.425,0.051,NaN,NaN,0.154,0.020,
0.050,0.519,0.055,0.502,0.055,0.380,0.048,0.242,0.027,0.204,0.020,
0.060,NaN,NaN,NaN,NaN,0.373,0.046,NaN,NaN,0.551,0.082,
0.070,0.538,0.056,0.585,0.062,0.807,0.080,0.903,0.092,0.985,0.103,
0.080,NaN,NaN,NaN,NaN,0.872,0.081,NaN,NaN,1.173,0.105,
0.090,0.541,0.053,0.621,0.067,0.888,0.084,1.081,0.107,1.192,0.008,
