,x = -75 mm,,x = -25 mm,,x = 25 mm,,x = 125 mm,,x = 225 mm,,
z,u, u_rms,u, u_rms,u, u_rms,u, u_rms,u, u_rms,
m,m/s, m/s,m/s, m/s,m/s, m/s,m/s, m/s,m/s, m/s,
0.010,0.924,0.033,0.748,0.033,0.572,0.007,0.460,0.002,0.330,0.003,
0.020,NaN,NaN,NaN,NaN,0.480,0.032,NaN,NaN,0.359,0.001,
0.030,0.962,0.023,0.850,0.025,0.301,0.003,0.529,0.002,0.408,0.002,
0.040,NaN,NaN,NaN,NaN,0.874,0.018,NaN,NaN,0.333,0.002,
0.050,0.992,0.021,0.970,0.021,0.808,0.017,0.514,0.006,0.374,0.013,
0.060,NaN,NaN,NaN,NaN,0.772,0.010,NaN,NaN,1.162,0.037,
0.070,1.038,0.021,1.116,0.016,1.541,0.015,1.708,0.037,1.858,0.043,
0.080,NaN,NaN,NaN,NaN,1.620,0.011,NaN,NaN,2.161,0.024,
0.090,1.055,0.021,1.193,0.027,1.654,0.016,2.021,0.009,2.264,0.010,
