z,U1, U1_rms,U2, U2_rms,U3, U3_rms,U4, U4_rms,U5, U5_rms,
m,m/s, m/s,m/s, m/s,m/s, m/s,m/s, m/s,m/s, m/s,
0.010,0.917,0.035,0.807,0.036,0.978,0.020,0.738,0.010,0.515,0.004,
0.020,NaN,NaN,NaN,NaN,0.847,0.012,NaN,NaN,0.409,0.002,
0.030,0.968,0.022,0.912,0.023,0.856,0.025,0.565,0.009,0.535,0.002,
0.040,NaN,NaN,NaN,NaN,0.939,0.029,NaN,NaN,0.538,0.003,
0.050,1.005,0.022,0.987,0.020,0.923,0.016,0.649,0.006,0.536,0.009,
0.060,NaN,NaN,NaN,NaN,1.074,0.015,NaN,NaN,1.099,0.036,
0.070,1.043,0.021,1.068,0.021,1.265,0.017,1.289,0.029,1.496,0.047,
0.080,NaN,NaN,NaN,NaN,1.275,0.019,NaN,NaN,1.797,0.031,
0.090,1.054,0.025,1.118,0.027,1.375,0.019,1.733,0.013,1.923,0.017,
