z,U1, U1_rms,U2, U2_rms,U3, U3_rms,U4, U4_rms,U5, U5_rms,
m,m/s, m/s,m/s, m/s,m/s, m/s,m/s, m/s,m/s, m/s,
0.010,1.714,0.061,1.360,0.058,1.577,0.028,0.965,0.004,0.667,0.002,
0.020,NaN,NaN,NaN,NaN,1.286,0.028,NaN,NaN,0.601,0.004,
0.030,1.815,0.032,1.582,0.032,1.217,0.040,0.909,0.006,0.771,0.003,
0.040,NaN,NaN,NaN,NaN,1.727,0.021,NaN,NaN,0.717,0.002,
0.050,1.894,0.032,1.827,0.030,2.290,0.052,1.054,0.005,0.821,0.004,
0.060,NaN,NaN,NaN,NaN,2.141,0.017,NaN,NaN,0.926,0.016,
0.070,2.000,0.032,2.161,0.029,2.617,0.022,2.897,0.056,3.411,0.062,
0.080,NaN,NaN,NaN,NaN,3.033,0.027,NaN,NaN,4.517,0.051,
0.090,2.064,0.041,2.365,0.040,3.639,0.025,4.685,0.022,5.026,0.019,
