,x = -75 mm,,x = -25 mm,,x = 25 mm,,x = 125 mm,,x = 225 mm,,
z,u, u_rms,u, u_rms,u, u_rms,u, u_rms,u, u_rms,
m,m/s, m/s,m/s, m/s,m/s, m/s,m/s, m/s,m/s, m/s,
0.010,1.322,0.040,1.127,0.038,1.132,0.015,1.101,0.020,0.711,0.010,
0.020,NaN,NaN,NaN,NaN,1.079,0.018,NaN,NaN,0.529,0.003,
0.030,1.378,0.024,1.306,0.029,1.105,0.030,0.858,0.009,0.858,0.004,
0.040,NaN,NaN,NaN,NaN,1.173,0.038,NaN,NaN,0.915,0.004,
0.050,1.454,0.023,1.437,0.028,1.470,0.016,1.034,0.015,0.694,0.013,
0.060,NaN,NaN,NaN,NaN,1.766,0.025,NaN,NaN,1.579,0.085,
0.070,1.495,0.025,1.548,0.026,1.727,0.026,2.002,0.023,2.215,0.088,
0.080,NaN,NaN,NaN,NaN,1.917,0.018,NaN,NaN,2.548,0.049,
0.090,1.528,0.036,1.603,0.035,1.953,0.031,2.444,0.022,2.708,0.022,
