z,U1, U1_rms,U2, U2_rms,U3, U3_rms,U4, U4_rms,U5, U5_rms,
m,m/s, m/s,m/s, m/s,m/s, m/s,m/s, m/s,m/s, m/s,
0.010,0.907,0.035,0.738,0.041,0.595,0.010,0.473,0.003,0.372,0.002,
0.020,NaN,NaN,NaN,NaN,0.399,0.020,NaN,NaN,0.401,0.001,
0.030,0.962,0.022,0.872,0.026,0.535,0.016,0.471,0.001,0.397,0.001,
0.040,NaN,NaN,NaN,NaN,1.065,0.017,NaN,NaN,0.331,0.002,
0.050,0.989,0.020,0.977,0.021,0.775,0.020,0.544,0.006,0.438,0.008,
0.060,NaN,NaN,NaN,NaN,1.021,0.014,NaN,NaN,1.126,0.044,
0.070,1.035,0.021,1.099,0.017,1.490,0.015,1.730,0.035,1.809,0.048,
0.080,NaN,NaN,NaN,NaN,1.551,0.013,NaN,NaN,2.157,0.026,
0.090,1.054,0.026,1.162,0.027,1.580,0.017,2.009,0.010,2.238,0.011,
