,x = -75 mm,,x = -25 mm,,x = 25 mm,,x = 125 mm,,x = 225 mm,,
z,u, u_rms,u, u_rms,u, u_rms,u, u_rms,u, u_rms,
m,m/s, m/s,m/s, m/s,m/s, m/s,m/s, m/s,m/s, m/s,
0.010,1.309,0.051,1.085,0.038,0.857,0.024,0.672,0.005,0.503,0.001,
0.020,NaN,NaN,NaN,NaN,0.718,0.028,NaN,NaN,0.550,0.001,
0.030,1.398,0.025,1.246,0.026,0.472,0.010,0.800,0.003,0.630,0.001,
0.040,NaN,NaN,NaN,NaN,1.310,0.027,NaN,NaN,0.497,0.003,
0.050,1.433,0.028,1.394,0.023,1.234,0.011,0.791,0.011,0.610,0.019,
0.060,NaN,NaN,NaN,NaN,1.194,0.020,NaN,NaN,1.705,0.050,
0.070,1.499,0.024,1.599,0.021,2.225,0.022,2.503,0.049,2.715,0.053,
0.080,NaN,NaN,NaN,NaN,2.315,0.016,NaN,NaN,3.144,0.030,
0.090,1.503,0.041,1.702,0.033,2.362,0.021,2.895,0.015,3.301,0.012,
