,x = -75 mm,,x = -25 mm,,x = 25 mm,,x = 125 mm,,x = 225 mm,,
z,u, u_rms,u, u_rms,u, u_rms,u, u_rms,u, u_rms,
m,m/s, m/s,m/s, m/s,m/s, m/s,m/s, m/s,m/s, m/s,
0.010,0.911,0.036,0.755,0.032,0.731,0.012,0.816,0.016,0.477,0.004,
0.020,NaN,NaN,NaN,NaN,0.710,0.015,NaN,NaN,0.339,0.002,
0.030,0.959,0.024,0.902,0.023,0.719,0.020,0.565,0.006,0.584,0.003,
0.040,NaN,NaN,NaN,NaN,0.793,0.040,NaN,NaN,0.593,0.003,
0.050,1.003,0.022,0.990,0.017,0.988,0.017,0.665,0.007,0.435,0.006,
0.060,NaN,NaN,NaN,NaN,1.226,0.018,NaN,NaN,1.067,0.053,
0.070,1.032,0.021,1.063,0.022,1.203,0.021,1.387,0.019,1.534,0.055,
0.080,NaN,NaN,NaN,NaN,1.334,0.016,NaN,NaN,1.757,0.036,
0.090,1.046,0.023,1.112,0.024,1.367,0.020,1.692,0.011,1.867,0.020,
