,x = -75 mm,,x = -25 mm,,x = 25 mm,,x = 125 mm,,x = 225 mm,,
z,u, u_rms,u, u_rms,u, u_rms,u, u_rms,u, u_rms,
m,m/s, m/s,m/s, m/s,m/s, m/s,m/s, m/s,m/s, m/s,
0.010,1.303,0.054,1.025,0.060,1.167,0.026,0.682,0.001,0.510,0.003,
0.020,NaN,NaN,NaN,NaN,0.944,0.020,NaN,NaN,0.408,0.001,
0.030,1.362,0.030,1.172,0.030,0.932,0.030,0.632,0.003,0.538,0.002,
0.040,NaN,NaN,NaN,NaN,1.180,0.035,NaN,NaN,0.518,0.002,
0.050,1.409,0.020,1.325,0.026,1.718,0.037,0.757,0.003,0.627,0.002,
0.060,NaN,NaN,NaN,NaN,1.257,0.011,NaN,NaN,0.361,0.003,
0.070,1.480,0.028,1.591,0.025,2.389,0.015,1.870,0.029,2.224,0.030,
0.080,NaN,NaN,NaN,NaN,1.921,0.037,NaN,NaN,3.131,0.050,
0.090,1.519,0.031,1.764,0.032,2.777,0.020,3.553,0.016,3.790,0.023,
