,x = -75 mm,,x = -25 mm,,x = 25 mm,,x = 125 mm,,x = 225 mm,,
z,u, u_rms,u, u_rms,u, u_rms,u, u_rms,u, u_rms,
m,m/s, m/s,m/s, m/s,m/s, m/s,m/s, m/s,m/s, m/s,
0.010,1.774,0.058,1.680,0.048,2.308,0.053,1.330,0.008,1.060,0.009,
0.020,NaN,NaN,NaN,NaN,1.959,0.017,NaN,NaN,1.063,0.007,
0.030,1.904,0.036,1.813,0.029,1.920,0.026,1.155,0.015,1.017,0.007,
0.040,NaN,NaN,NaN,NaN,2.098,0.034,NaN,NaN,1.021,0.006,
0.050,1.988,0.031,1.942,0.039,1.803,0.027,1.256,0.008,1.320,0.014,
0.060,NaN,NaN,NaN,NaN,1.884,0.031,NaN,NaN,2.210,0.035,
0.070,2.078,0.031,2.107,0.034,2.530,0.024,2.305,0.048,2.828,0.055,
0.080,NaN,NaN,NaN,NaN,2.463,0.037,NaN,NaN,3.598,0.057,
0.090,2.094,0.044,2.192,0.041,2.692,0.031,3.449,0.022,3.837,0.018,
