,x = -75 mm,,x = -25 mm,,x = 25 mm,,x = 125 mm,,x = 225 mm,,
z,u, u_rms,u, u_rms,u, u_rms,u, u_rms,u, u_rms,
m,m/s, m/s,m/s, m/s,m/s, m/s,m/s, m/s,m/s, m/s,
0.010,0.444,0.024,0.437,0.061,0.668,0.076,0.337,0.041,0.276,0.029,
0.020,NaN,NaN,NaN,NaN,0.508,0.055,NaN,NaN,0.212,0.003,
0.030,0.494,0.046,0.474,0.048,0.510,0.059,0.265,0.032,0.217,0.026,
0.040,NaN,NaN,NaN,NaN,0.553,0.057,NaN,NaN,0.243,0.023,
0.050,0.522,0.050,0.506,0.054,0.380,0.050,0.310,0.030,0.338,0.030,
0.060,NaN,NaN,NaN,NaN,0.442,0.043,NaN,NaN,0.626,0.063,
0.070,0.540,0.057,0.550,0.053,0.714,0.065,0.621,0.071,0.786,0.071,
0.080,NaN,NaN,NaN,NaN,0.602,0.061,NaN,NaN,0.981,0.092,
0.090,0.534,0.053,0.570,0.063,0.711,0.063,0.957,0.078,1.066,0.099,
