,x = -75 mm,,x = -25 mm,,x = 25 mm,,x = 125 mm,,x = 225 mm,,
z,u, u_rms,u, u_rms,u, u_rms,u, u_rms,u, u_rms,
m,m/s, m/s,m/s, m/s,m/s, m/s,m/s, m/s,m/s, m/s,
0.010,1.292,0.043,1.118,0.044,0.948,0.024,0.729,0.004,0.658,0.001,
0.020,NaN,NaN,NaN,NaN,0.470,0.014,NaN,NaN,0.692,0.002,
0.030,1.382,0.035,1.277,0.036,1.092,0.045,0.614,0.004,0.611,0.002,
0.040,NaN,NaN,NaN,NaN,1.817,0.026,NaN,NaN,0.528,0.003,
0.050,1.429,0.024,1.422,0.027,1.174,0.036,0.839,0.010,0.753,0.004,
0.060,NaN,NaN,NaN,NaN,1.840,0.031,NaN,NaN,1.573,0.061,
0.070,1.506,0.025,1.559,0.022,2.064,0.023,2.509,0.044,2.554,0.063,
0.080,NaN,NaN,NaN,NaN,2.126,0.017,NaN,NaN,3.140,0.032,
0.090,1.523,0.028,1.641,0.037,2.159,0.024,2.900,0.014,3.250,0.014,
