,x = -75 mm,,x = -25 mm,,x = 25 mm,,x = 125 mm,,x = 225 mm,,
z,u, u_rms,u, u_rms,u, u_rms,u, u_rms,u, u_rms,
m,m/s, m/s,m/s, m/s,m/s, m/s,m/s, m/s,m/s, m/s,
0.010,0.415,0.036,0.376,0.060,0.286,0.029,0.241,0.028,0.181,0.001,
0.020,NaN,NaN,NaN,NaN,0.205,0.013,NaN,NaN,0.210,0.022,
0.030,0.487,0.051,0.458,0.059,0.328,0.041,0.228,0.019,0.189,0.020,
0.040,NaN,NaN,NaN,NaN,0.652,0.062,NaN,NaN,0.145,0.019,
0.050,0.515,0.055,0.515,0.060,0.356,0.042,0.271,0.031,0.241,0.025,
0.060,NaN,NaN,NaN,NaN,0.648,0.063,NaN,NaN,0.555,0.074,
0.070,0.534,0.056,0.561,0.062,0.768,0.068,0.948,0.087,0.960,0.082,
0.080,NaN,NaN,NaN,NaN,0.784,0.007,NaN,NaN,1.147,0.106,
0.090,0.526,0.051,0.579,0.059,0.804,0.072,1.071,0.103,1.179,0.112,
