,x = -75 mm,,x = -25 mm,,x = 25 mm,,x = 125 mm,,x = 225 mm,,
z,u, u_rms,u, u_rms,u, u_rms,u, u_rms,u, u_rms,
m,m/s, m/s,m/s, m/s,m/s, m/s,m/s, m/s,m/s, m/s,
0.010,1.339,0.045,1.258,0.036,1.753,0.036,0.973,0.006,0.795,0.007,
0.020,NaN,NaN,NaN,NaN,1.448,0.019,NaN,NaN,0.762,0.005,
0.030,1.423,0.026,1.331,0.030,1.404,0.026,0.851,0.009,0.749,0.004,
0.040,NaN,NaN,NaN,NaN,1.571,0.029,NaN,NaN,0.734,0.005,
0.050,1.459,0.027,1.442,0.025,1.300,0.020,0.930,0.008,0.953,0.012,
0.060,NaN,NaN,NaN,NaN,1.365,0.016,NaN,NaN,1.653,0.033,
0.070,1.535,0.034,1.563,0.023,1.891,0.017,1.715,0.044,2.099,0.044,
0.080,NaN,NaN,NaN,NaN,1.786,0.031,NaN,NaN,2.653,0.044,
0.090,1.545,0.026,1.635,0.030,1.998,0.026,2.533,0.018,2.846,0.013,
