,x = -75 mm,,x = -25 mm,,x = 25 mm,,x = 125 mm,,x = 225 mm,,
z,u, u_rms,u, u_rms,u, u_rms,u, u_rms,u, u_rms,
m,m/s, m/s,m/s, m/s,m/s, m/s,m/s, m/s,m/s, m/s,
0.010,0.923,0.034,0.859,0.039,1.225,0.028,0.660,0.005,0.553,0.004,
0.020,NaN,NaN,NaN,NaN,0.984,0.010,NaN,NaN,0.479,0.002,
0.030,0.977,0.021,0.922,0.024,0.992,0.030,0.565,0.011,0.487,0.002,
0.040,NaN,NaN,NaN,NaN,1.086,0.017,NaN,NaN,0.483,0.002,
0.050,1.007,0.022,0.984,0.023,0.858,0.014,0.633,0.004,0.637,0.012,
0.060,NaN,NaN,NaN,NaN,0.921,0.013,NaN,NaN,1.131,0.018,
0.070,1.055,0.021,1.072,0.020,1.327,0.013,1.192,0.039,1.459,0.039,
0.080,NaN,NaN,NaN,NaN,1.215,0.022,NaN,NaN,1.837,0.025,
0.090,1.061,0.026,1.123,0.030,1.384,0.017,1.774,0.016,1.979,0.013,
