,x = -75 mm,,x = -25 mm,,x = 25 mm,,x = 125 mm,,x = 225 mm,,
z,u, u_rms,u, u_rms,u, u_rms,u, u_rms,u, u_rms,
m,m/s, m/s,m/s, m/s,m/s, m/s,m/s, m/s,m/s, m/s,
0.010,0.890,0.038,0.728,0.050,0.617,0.012,0.486,0.004,0.413,0.001,
0.020,NaN,NaN,NaN,NaN,0.318,0.007,NaN,NaN,0.442,0.002,
0.030,0.962,0.021,0.893,0.027,0.768,0.028,0.413,0.001,0.386,0.001,
0.040,NaN,NaN,NaN,NaN,1.255,0.015,NaN,NaN,0.330,0.002,
0.050,0.985,0.020,0.984,0.021,0.742,0.024,0.573,0.005,0.502,0.003,
0.060,NaN,NaN,NaN,NaN,1.271,0.018,NaN,NaN,1.090,0.051,
0.070,1.032,0.021,1.082,0.017,1.439,0.014,1.752,0.032,1.761,0.053,
0.080,NaN,NaN,NaN,NaN,1.482,0.015,NaN,NaN,2.152,0.028,
0.090,1.053,0.031,1.130,0.027,1.506,0.018,1.997,0.010,2.212,0.012,
