z,U1, U1_rms,U2, U2_rms,U3, U3_rms,U4, U4_rms,U5, U5_rms,
m,m/s, m/s,m/s, m/s,m/s, m/s,m/s, m/s,m/s, m/s,
0.010,1.300,0.047,1.102,0.041,0.902,0.024,0.700,0.004,0.581,0.001,
0.020,NaN,NaN,NaN,NaN,0.594,0.021,NaN,NaN,0.621,0.002,
0.030,1.390,0.030,1.261,0.031,0.782,0.027,0.707,0.003,0.621,0.002,
0.040,NaN,NaN,NaN,NaN,1.563,0.026,NaN,NaN,0.513,0.003,
0.050,1.431,0.026,1.408,0.025,1.204,0.023,0.815,0.010,0.682,0.012,
0.060,NaN,NaN,NaN,NaN,1.517,0.025,NaN,NaN,1.639,0.056,
0.070,1.502,0.024,1.579,0.021,2.144,0.022,2.506,0.047,2.634,0.058,
0.080,NaN,NaN,NaN,NaN,2.221,0.017,NaN,NaN,3.142,0.031,
0.090,1.513,0.034,1.671,0.035,2.260,0.023,2.898,0.014,3.275,0.013,
