z,U1, U1_rms,U2, U2_rms,U3, U3_rms,U4, U4_rms,U5, U5_rms,
m,m/s, m/s,m/s, m/s,m/s, m/s,m/s, m/s,m/s, m/s,
0.010,1.305,0.048,1.040,0.054,1.158,0.024,0.717,0.002,0.485,0.002,
0.020,NaN,NaN,NaN,NaN,0.961,0.015,NaN,NaN,0.443,0.001,
0.030,1.374,0.029,1.203,0.029,0.859,0.027,0.665,0.004,0.556,0.002,
0.040,NaN,NaN,NaN,NaN,1.235,0.026,NaN,NaN,0.528,0.002,
0.050,1.411,0.020,1.370,0.027,1.694,0.039,0.780,0.003,0.569,0.002,
0.060,NaN,NaN,NaN,NaN,1.553,0.013,NaN,NaN,0.686,0.015,
0.070,1.490,0.031,1.608,0.024,1.906,0.020,2.190,0.049,2.551,0.059,
0.080,NaN,NaN,NaN,NaN,2.241,0.030,NaN,NaN,3.386,0.041,
0.090,1.530,0.030,1.759,0.031,2.704,0.021,3.489,0.017,3.780,0.020,
