z,U1, U1_rms,U2, U2_rms,U3, U3_rms,U4, U4_rms,U5, U5_rms,
m,m/s, m/s,m/s, m/s,m/s, m/s,m/s, m/s,m/s, m/s,
0.010,0.436,0.032,0.351,0.060,0.361,0.049,0.264,0.023,0.158,0.019,
0.020,NaN,NaN,NaN,NaN,0.348,0.019,NaN,NaN,0.155,0.014,
0.030,0.493,0.050,0.423,0.051,0.271,0.028,0.226,0.021,0.180,0.017,
0.040,NaN,NaN,NaN,NaN,0.456,0.038,NaN,NaN,0.183,0.017,
0.050,0.501,0.033,0.495,0.055,0.517,0.059,0.250,0.023,0.165,0.019,
0.060,NaN,NaN,NaN,NaN,0.575,0.037,NaN,NaN,0.207,0.021,
0.070,0.534,0.057,0.595,0.057,0.685,0.065,0.743,0.078,0.902,0.091,
0.080,NaN,NaN,NaN,NaN,0.841,0.078,NaN,NaN,1.169,0.124,
0.090,0.531,0.050,0.639,0.060,1.007,0.088,1.291,0.111,1.384,0.123,
