,x = -75 mm,,x = -25 mm,,x = 25 mm,,x = 125 mm,,x = 225 mm,,
z,u, u_rms,u, u_rms,u, u_rms,u, u_rms,u, u_rms,
m,m/s, m/s,m/s, m/s,m/s, m/s,m/s, m/s,m/s, m/s,
0.010,0.906,0.035,0.694,0.043,0.802,0.026,0.474,0.003,0.347,0.003,
0.020,NaN,NaN,NaN,NaN,0.674,0.015,NaN,NaN,0.276,0.001,
0.030,0.952,0.021,0.812,0.028,0.586,0.005,0.423,0.001,0.372,0.001,
0.040,NaN,NaN,NaN,NaN,0.773,0.016,NaN,NaN,0.355,0.001,
0.050,0.981,0.019,0.927,0.017,1.125,0.021,0.482,0.003,0.422,0.003,
0.060,NaN,NaN,NaN,NaN,0.891,0.011,NaN,NaN,0.244,0.002,
0.070,1.034,0.019,1.117,0.018,1.637,0.012,1.265,0.028,1.539,0.022,
0.080,NaN,NaN,NaN,NaN,1.339,0.020,NaN,NaN,1.969,0.033,
0.090,1.044,0.029,1.219,0.024,1.910,0.012,2.440,0.012,2.593,0.021,
