z,U1, U1_rms,U2, U2_rms,U3, U3_rms,U4, U4_rms,U5, U5_rms,
m,m/s, m/s,m/s, m/s,m/s, m/s,m/s, m/s,m/s, m/s,
0.010,1.745,0.056,1.465,0.052,1.215,0.033,0.972,0.006,0.817,0.003,
0.020,NaN,NaN,NaN,NaN,0.824,0.035,NaN,NaN,0.855,0.003,
0.030,1.854,0.040,1.677,0.032,1.081,0.040,0.992,0.007,0.862,0.004,
0.040,NaN,NaN,NaN,NaN,2.129,0.029,NaN,NaN,0.730,0.004,
0.050,1.933,0.032,1.889,0.029,1.666,0.023,1.077,0.013,0.972,0.014,
0.060,NaN,NaN,NaN,NaN,2.058,0.032,NaN,NaN,2.216,0.071,
0.070,2.023,0.032,2.118,0.027,2.890,0.024,3.395,0.062,3.560,0.068,
0.080,NaN,NaN,NaN,NaN,2.975,0.025,NaN,NaN,4.240,0.038,
0.090,2.048,0.040,2.258,0.041,3.064,0.027,3.913,0.018,4.391,0.015,
