,x = -75 mm,,x = -25 mm,,x = 25 mm,,x = 125 mm,,x = 225 mm,,
z,u, u_rms,u, u_rms,u, u_rms,u, u_rms,u, u_rms,
m,m/s, m/s,m/s, m/s,m/s, m/s,m/s, m/s,m/s, m/s,
0.010,0.443,0.024,0.354,0.038,0.320,0.007,0.395,0.046,0.232,0.022,
0.020,NaN,NaN,NaN,NaN,0.370,0.033,NaN,NaN,0.173,0.002,
0.030,0.495,0.045,0.463,0.058,0.323,0.008,0.275,0.029,0.293,0.027,
0.040,NaN,NaN,NaN,NaN,0.403,0.044,NaN,NaN,0.282,0.029,
0.050,0.515,0.051,0.504,0.056,0.482,0.055,0.300,0.036,0.210,0.021,
0.060,NaN,NaN,NaN,NaN,0.653,0.063,NaN,NaN,0.522,0.054,
0.070,0.538,0.057,0.552,0.055,0.597,0.016,0.729,0.071,0.798,0.046,
0.080,NaN,NaN,NaN,NaN,0.715,0.064,NaN,NaN,0.943,0.086,
0.090,0.523,0.053,0.572,0.059,0.724,0.070,0.911,0.078,1.008,0.086,
