z,U1, U1_rms,U2, U2_rms,U3, U3_rms,U4, U4_rms,U5, U5_rms,
m,m/s, m/s,m/s, m/s,m/s, m/s,m/s, m/s,m/s, m/s,
0.010,0.443,0.024,0.395,0.050,0.494,0.041,0.366,0.043,0.254,0.026,
0.020,NaN,NaN,NaN,NaN,0.439,0.044,NaN,NaN,0.192,0.002,
0.030,0.494,0.045,0.469,0.053,0.416,0.033,0.270,0.030,0.255,0.026,
0.040,NaN,NaN,NaN,NaN,0.478,0.050,NaN,NaN,0.262,0.026,
0.050,0.519,0.050,0.505,0.055,0.431,0.053,0.305,0.033,0.274,0.025,
0.060,NaN,NaN,NaN,NaN,0.548,0.053,NaN,NaN,0.574,0.058,
0.070,0.539,0.057,0.551,0.054,0.655,0.041,0.675,0.071,0.792,0.059,
0.080,NaN,NaN,NaN,NaN,0.658,0.062,NaN,NaN,0.962,0.089,
0.090,0.528,0.053,0.571,0.061,0.718,0.066,0.934,0.078,1.037,0.092,
