,x = -75 mm,,x = -25 mm,,x = 25 mm,,x = 125 mm,,x = 225 mm,,
z,u, u_rms,u, u_rms,u, u_rms,u, u_rms,u, u_rms,
m,m/s, m/s,m/s, m/s,m/s, m/s,m/s, m/s,m/s, m/s,
0.010,1.710,0.063,1.380,0.055,1.542,0.026,1.004,0.005,0.647,0.002,
0.020,NaN,NaN,NaN,NaN,1.281,0.026,NaN,NaN,0.650,0.006,
0.030,1.822,0.034,1.615,0.034,1.132,0.026,1.001,0.007,0.834,0.003,
0.040,NaN,NaN,NaN,NaN,1.774,0.017,NaN,NaN,0.731,0.002,
0.050,1.894,0.030,1.884,0.027,2.284,0.055,1.091,0.006,0.767,0.005,
0.060,NaN,NaN,NaN,NaN,2.469,0.017,NaN,NaN,1.330,0.027,
0.070,2.010,0.031,2.187,0.027,1.989,0.026,3.331,0.077,3.807,0.078,
0.080,NaN,NaN,NaN,NaN,3.467,0.026,NaN,NaN,4.818,0.050,
0.090,2.075,0.043,2.374,0.040,3.540,0.029,4.600,0.025,5.029,0.015,
