z,U1, U1_rms,U2, U2_rms,U3, U3_rms,U4, U4_rms,U5, U5_rms,
m,m/s, m/s,m/s, m/s,m/s, m/s,m/s, m/s,m/s, m/s,
0.010,0.912,0.037,0.704,0.038,0.774,0.025,0.501,0.002,0.323,0.003,
0.020,NaN,NaN,NaN,NaN,0.663,0.010,NaN,NaN,0.301,0.001,
0.030,0.957,0.023,0.833,0.025,0.528,0.009,0.439,0.002,0.362,0.001,
0.040,NaN,NaN,NaN,NaN,0.821,0.012,NaN,NaN,0.360,0.001,
0.050,0.985,0.020,0.953,0.017,1.104,0.022,0.496,0.003,0.357,0.002,
0.060,NaN,NaN,NaN,NaN,1.096,0.012,NaN,NaN,0.460,0.013,
0.070,1.039,0.020,1.129,0.018,1.314,0.012,1.496,0.038,1.754,0.035,
0.080,NaN,NaN,NaN,NaN,1.562,0.016,NaN,NaN,2.242,0.031,
0.090,1.055,0.027,1.224,0.022,1.874,0.013,2.409,0.013,2.604,0.016,
