,x = -75 mm,,x = -25 mm,,x = 25 mm,,x = 125 mm,,x = 225 mm,,
z,u, u_rms,u, u_rms,u, u_rms,u, u_rms,u, u_rms,
m,m/s, m/s,m/s, m/s,m/s, m/s,m/s, m/s,m/s, m/s,
0.010,0.426,0.033,0.336,0.057,0.360,0.047,0.249,0.019,0.175,0.020,
0.020,NaN,NaN,NaN,NaN,0.395,0.004,NaN,NaN,0.148,0.013,
0.030,0.492,0.053,0.413,0.054,0.302,0.031,0.208,0.021,0.203,0.015,
0.040,NaN,NaN,NaN,NaN,0.446,0.035,NaN,NaN,0.169,0.017,
0.050,0.509,0.053,0.478,0.055,0.533,0.053,0.242,0.022,0.214,0.021,
0.060,NaN,NaN,NaN,NaN,0.467,0.010,NaN,NaN,0.114,0.002,
0.070,0.527,0.058,0.589,0.058,0.856,0.082,0.567,0.074,0.752,0.082,
0.080,NaN,NaN,NaN,NaN,0.718,0.070,NaN,NaN,0.987,0.127,
0.090,0.521,0.049,0.640,0.058,1.021,0.093,1.304,0.115,1.363,0.128,
