Exp,HF
R1,6.5
R2,8.8
R3,14.4
R4,18.2
R5,NaN
R6,6
R7,14.3
R8,20.9
R9,NaN
R10,NaN
R11,13.5
R12,22.9
R13,37.3
R14,72.2
R15,NaN
R16,9.5
R17,14.9
R18,NaN
R19,33.9
R20,NaN
R21,7.1
R22,8.9
R23,17.1
R24,NaN
R25,13.2
R26,4.6
R27,6.5
R28,9.8
R29,10.4
R30,14.8
R31,4.2
R32,5.5
R33,7.7
R34,12
R35,11.9
R36,5.8
R37,6.8
R38,9.3
R39,12.4
R40,17.9

