Time,South SEP,West SEP,South L_F,West L_F,South Tilt,West Tilt
10,167.3,175.2,25.3,20.9,12.4,10.4
40,167.3,175.2,25.3,20.9,12.4,10.4
NaN,NaN,NaN,NaN,NaN,NaN,NaN
50,170.7,182.2,25.7,23.2,0.7,10.7
80,170.7,182.2,25.7,23.2,0.7,10.7
