Exp,HF1,HF2
R1,6.5,5.1
R2,8.4,6.8
R3,12.7,9.8
R4,17.6,14.0
R5,NaN,NaN
R6,4.3,3.1
R7,NaN,NaN
R8,13.5,10.1
R9,NaN,NaN
R10,NaN,NaN
R11,8.5,6.4
R12,12,8.9
R13,16.6,12.0
R14,28.9,20.0
R15,NaN,NaN
R16,7.4,6.4
R17,10.7,9.3
R18,NaN,NaN
R19,21,18.1
R20,NaN,NaN
R21,6.3,6
R22,7.3,7.3
R23,13.7,13.2
R24,NaN,NaN
R25,10.5,10.7
R26,5.4,5.3
R27,8.1,7.8
R28,11.3,11.1
R29,12.3,12.1
R30,16.7,16.8
R31,5.7,5.5
R32,8.2,8.3
R33,10.2,10.3
R34,15.4,16
R35,17.3,17.9
R36,6.7,6.3
R37,8.5,7.9
R38,11,10.4
R39,15.8,14.8
R40,23.3,21.9
