Exp,HF
R1,2.8
R2,3.6
R3,4.0
R4,9.6
R5,NaN
R6,2.5
R7,3.5
R8,4.8
R9,NaN
R10,NaN
R11,2.1
R12,3.0
R13,4.6
R14,7.9
R15,NaN
R16,2.3
R17,3.0
R18,NaN
R19,6.2
R20,NaN
R21,1.4
R22,3.0
R23,5.3
R24,NaN
R25,4.2
R26,1.3
R27,3.1
R28,5.1
R29,5.9
R30,9.3
R31,2.5
R32,4.5
R33,7.4
R34,11.6
R35,13.3
R36,3.2
R37,5.2
R38,8.7
R39,14.2
R40,15.4


