Time,South SEP,West SEP,South L_F,West L_F,South Tilt,West Tilt
10,188.4,185.6,16.3,6.0,58.0,-19.9
40,188.4,185.6,16.3,6.0,58.0,-19.9
NaN,NaN,NaN,NaN,NaN,NaN,NaN
50,188.3,185.9,17.3,6.5,53.0,-19.4
80,188.3,185.9,17.3,6.5,53.0,-19.4
