Exp,HF1,HF2
R1,7.1,6.2
R2,8.9,7.9
R3,15.5,14.4
R4,20.4,19.8
R5,NaN,NaN
R6,8.8,8.0
R7,15.9,14.3
R8,23.7,22.1
R9,NaN,NaN
R10,NaN,NaN
R11,5.8,7.0
R12,10.2,11.8
R13,20.2,21.8
R14,42.6,41.9
R15,NaN,NaN
R16,6.1,6.7
R17,8.0,8.4
R18,NaN,NaN
R19,16.6,17.4
R20,NaN,NaN
R21,4.5,4.8
R22,5.8, 6.2
R23,8.7,9.2
R24,NaN,NaN
R25,7.2,7.6
R26,1.6,2.2
R27,2.2,3.0
R28,4.1,4.9
R29,4.5,5.4
R30,6.7,7.9
R31,2.2,2.6
R32,3.4,3.9
R33,4.5,5.2
R34,6.1,6.9
R35,6.9,7.8
R36,4.3,4.3
R37,5.7,5.7
R38,7.7,7.7
R39,10.7,10.9
R40,12.4,13.2

