Time,HF100
s,kW/m2
1.0,0.6
1.5,5.6
2.0,11.4
2.5,15.8
3.0,20.2
3.5,22.8
4.0,25.0
4.5,26.4
5.0,23.4
5.5,18.6
6.0,13.4
6.5,8.8
7.0,4.9
7.5,2.1
8.0,1.0
8.5,0.6
