Time,HF100
s,kW/m2
1.0,0.7
1.5,8.4
2.0,16.9
2.5,17.0
3.0,14.8
3.5,11.3
4.0,6.9
4.5,3.5
5.0,1.8
5.5,1.1
6.0,0.7
6.5,0.5
7.0,0.3
7.5,0.2
