Time,HF40,HF70,HF100
s,kW/m2,kW/m2,kW/m2
1.0,0.6,0.6,0.4
1.5,14.0,6.7,7.0
2.0,171.0,23.7,18.1
2.5,200.0,37.9,23.8
3.0,171.0,44.7,23.8
3.5,119.0,41.6,20.9
4.0,93.0,36.3,17.6
4.5,66.0,30.7,14.5
5.0,37.0,21.8,8.7
5.5,15.0,14.5,4.6
6.0,7.0,10.0,2.7
6.5,3.8,4.9,1.7
7.0,2.4,4.9,1.5
7.5,1.9,3.9,1.0
8.0,1.5,3.1,1.1
8.5,1.1,2.5,0.6
9.0,0.6,1.9,0.2
