Time,CO2_L4_BAS,CO2_L4_HAUT,DADM_L4,DEXT_L4,D_WATER_SPRAY,H2OEXT_L4,HRRM,O2_L4_BAS,O2_L4_HAUT,P_L4,TG_L4_CC_105_P,TG_L4_CC_105,TG_L4_CC_205_P,TG_L4_CC_205,TG_L4_CC_255_P,TG_L4_CC_255,TG_L4_CC_305,TG_L4_CC_355,TG_L4_NE_105_P,TG_L4_NE_105,TG_L4_NE_205_p,TG_L4_NE_205,TG_L4_NE_255_P,TG_L4_NE_255,TG_L4_NE_305,TG_L4_NE_355,TG_L4_SE_055_P,TG_L4_SE_390
s,mol/mol,mol/mol,m3/s,m3/s,L/min,mol/mol,kW,mol/mol,mol/mol,Pa,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
0.,1.300E-04,0.000E+00,0.685,0.696,0.05,1.057E-02,0.0,2.092E-01,2.095E-01,-59.4,18.2,18.6,18.5,17.4,17.6,18.6,19.2,16.6,17.0,17.6,17.5,17.6,18.7,17.0,18.5,18.0,16.2,18.5
10.,1.356E-04,3.333E-06,0.688,0.702,0.03,1.053E-02,0.0,2.093E-01,2.095E-01,-60.9,17.3,17.5,17.7,17.4,17.9,17.8,18.4,17.5,17.4,17.3,17.2,17.2,18.6,17.2,18.6,17.8,16.5,19.0
20.,5.444E-05,0.000E+00,0.688,0.703,0.07,1.053E-02,0.0,2.093E-01,2.095E-01,-56.9,17.5,17.2,17.8,17.6,17.8,17.9,18.0,17.7,17.8,17.5,17.6,17.2,18.3,17.1,18.2,17.8,17.2,18.3
30.,5.000E-05,1.000E-05,0.689,0.703,0.07,1.050E-02,0.0,2.093E-01,2.096E-01,-60.6,17.5,17.6,18.0,17.7,18.1,17.7,18.4,18.1,18.4,17.0,17.2,17.3,17.9,17.2,18.1,17.7,17.6,18.9
40.,1.311E-04,6.667E-06,0.686,0.706,0.09,1.052E-02,0.0,2.093E-01,2.095E-01,-59.0,18.1,17.4,17.9,17.6,18.2,17.9,18.4,18.5,17.4,17.4,17.1,17.3,17.7,17.7,18.1,18.4,16.6,18.9
50.,6.889E-05,3.556E-05,0.689,0.702,0.07,1.050E-02,12.8,2.093E-01,2.095E-01,-53.7,17.9,17.5,17.7,18.1,18.0,17.7,18.5,17.9,18.0,17.8,17.1,17.7,18.1,16.7,18.7,17.9,17.2,18.8
60.,1.875E-05,2.500E-06,0.667,0.719,0.06,1.049E-02,43.4,2.092E-01,2.095E-01,4.2,16.8,17.4,17.5,17.7,18.1,17.5,18.6,18.4,17.8,17.3,17.4,17.5,18.6,17.5,18.2,18.3,16.8,18.7
70.,1.311E-04,3.011E-04,0.591,0.770,0.15,1.054E-02,113.8,2.093E-01,2.095E-01,158.9,18.2,17.1,18.2,18.1,18.4,17.8,18.9,20.0,17.6,17.1,17.4,17.6,17.6,17.4,19.0,23.3,17.3,19.8
80.,9.111E-05,1.949E-03,0.376,0.890,0.12,1.055E-02,291.7,2.093E-01,2.081E-01,533.7,17.6,17.7,18.4,17.2,18.0,18.3,20.9,30.0,17.3,18.1,18.0,18.1,19.4,18.7,20.9,35.7,17.1,29.2
90.,8.444E-05,3.753E-03,0.432,0.907,0.06,1.060E-02,288.0,2.094E-01,2.049E-01,454.9,18.6,18.0,18.7,18.5,19.7,20.6,32.9,53.3,18.7,18.4,20.2,19.4,21.7,20.3,26.0,56.7,17.3,52.3
100.,2.122E-04,4.946E-03,0.471,0.903,0.02,1.061E-02,291.0,2.093E-01,2.027E-01,384.4,18.7,18.7,21.4,22.9,23.6,27.4,48.0,70.4,19.9,20.5,22.5,22.2,25.2,25.5,41.7,79.3,17.4,66.3
110.,2.700E-04,5.900E-03,0.506,0.895,0.05,1.343E-02,293.4,2.093E-01,2.013E-01,323.7,19.1,19.7,25.6,26.8,30.9,38.0,63.5,84.7,21.1,21.2,25.9,26.1,29.2,30.8,55.3,97.1,17.4,80.2
120.,4.111E-04,6.831E-03,0.526,0.895,0.08,1.425E-02,294.3,2.091E-01,1.998E-01,289.8,19.7,19.7,28.1,30.9,37.8,45.6,74.5,96.3,21.5,22.9,30.0,30.8,34.8,38.1,67.7,109.6,18.8,89.8
130.,9.222E-04,7.546E-03,0.544,0.890,0.08,1.732E-02,291.6,2.085E-01,1.987E-01,251.3,21.3,22.0,31.0,34.7,45.3,52.8,83.3,103.0,23.2,24.6,33.2,35.5,40.6,44.0,76.1,118.6,17.3,97.8
140.,1.544E-03,8.074E-03,0.556,0.886,0.06,1.870E-02,291.5,2.074E-01,1.977E-01,224.1,22.4,25.7,33.4,36.9,49.4,59.2,91.9,110.3,24.9,27.4,37.0,39.7,44.7,48.5,83.5,124.6,17.9,102.1
150.,1.958E-03,8.738E-03,0.571,0.885,0.08,2.004E-02,291.7,2.066E-01,1.967E-01,191.2,24.1,28.4,35.3,40.5,54.7,63.6,95.9,114.8,27.6,32.1,39.2,43.0,48.5,51.9,91.1,128.2,18.0,107.6
160.,2.341E-03,9.154E-03,0.579,0.882,0.06,2.143E-02,292.2,2.060E-01,1.960E-01,175.5,25.5,31.3,37.0,42.2,58.6,68.1,100.5,119.9,29.4,35.4,41.4,45.9,50.3,56.1,92.6,131.6,19.1,113.6
170.,2.451E-03,9.741E-03,0.584,0.880,0.07,2.197E-02,292.5,2.058E-01,1.955E-01,164.8,28.3,34.9,39.1,43.3,62.1,71.4,105.5,124.2,32.6,38.7,42.5,46.9,53.0,59.9,95.6,135.1,20.2,115.6
180.,2.713E-03,1.002E-02,0.588,0.882,0.08,2.363E-02,292.5,2.055E-01,1.945E-01,156.6,31.8,38.0,40.8,46.7,64.4,72.7,108.9,129.0,35.5,41.3,44.7,49.2,56.5,61.9,100.5,138.4,22.7,119.0
190.,3.011E-03,1.039E-02,0.594,0.881,0.08,2.386E-02,292.7,2.051E-01,1.943E-01,148.7,35.0,40.5,43.2,48.4,65.8,75.8,108.5,128.6,37.9,43.0,46.1,51.0,61.2,64.9,105.6,140.0,23.9,119.5
200.,3.209E-03,1.082E-02,0.595,0.878,0.08,2.484E-02,292.6,2.047E-01,1.936E-01,142.1,38.4,42.7,45.1,49.3,69.4,79.6,112.1,131.3,41.2,45.3,48.1,51.6,63.1,68.5,108.4,145.6,24.2,121.3
210.,3.558E-03,1.114E-02,0.603,0.873,0.13,2.538E-02,292.6,2.042E-01,1.929E-01,117.4,39.5,44.5,46.3,52.8,72.2,81.6,113.1,134.7,42.6,47.0,49.7,53.1,65.6,71.6,109.2,148.1,27.4,125.3
220.,3.702E-03,1.171E-02,0.609,0.878,0.13,2.604E-02,292.8,2.039E-01,1.923E-01,113.3,39.4,46.5,47.9,53.9,73.9,82.9,114.2,137.9,44.6,48.7,51.4,53.5,67.2,72.2,113.1,149.7,28.5,126.4
230.,3.809E-03,1.237E-02,0.611,0.875,0.12,2.698E-02,292.1,2.038E-01,1.912E-01,102.0,41.6,48.4,49.1,55.8,76.5,85.1,114.7,137.7,46.4,50.0,53.0,54.4,68.7,73.3,115.1,152.4,29.0,128.4
240.,3.960E-03,1.253E-02,0.607,0.872,0.13,2.741E-02,292.6,2.034E-01,1.907E-01,110.5,42.6,49.7,49.5,57.1,78.7,87.1,114.4,137.4,47.8,51.0,54.1,55.6,72.0,75.8,116.5,152.5,30.3,129.9
250.,4.121E-03,1.267E-02,0.613,0.873,0.05,2.845E-02,292.4,2.034E-01,1.908E-01,104.3,44.4,51.0,51.4,58.5,79.8,88.1,115.6,139.3,49.5,52.1,55.5,56.6,72.2,76.4,115.5,153.2,32.7,132.5
260.,4.397E-03,1.280E-02,0.621,0.871,0.10,2.857E-02,291.9,2.031E-01,1.905E-01,85.6,45.4,51.8,52.4,59.1,81.4,88.8,117.7,140.8,50.1,53.7,55.9,58.1,72.5,76.2,114.2,156.3,34.9,131.6
270.,4.690E-03,1.306E-02,0.613,0.875,0.10,2.941E-02,292.0,2.025E-01,1.901E-01,96.6,44.7,53.4,53.2,59.7,81.6,89.5,118.7,144.5,51.4,54.9,57.9,60.2,75.2,78.5,112.8,156.4,35.5,133.4
280.,4.841E-03,1.290E-02,0.612,0.878,0.13,2.956E-02,292.9,2.023E-01,1.901E-01,103.4,44.1,54.2,54.3,60.8,83.2,89.7,117.6,144.0,52.7,56.9,60.5,62.3,76.9,79.4,113.9,157.3,36.3,134.6
290.,5.270E-03,1.284E-02,0.611,0.878,0.09,3.045E-02,292.4,2.017E-01,1.904E-01,107.8,44.9,55.5,54.6,62.0,84.7,92.3,120.9,143.0,54.3,57.2,60.8,62.4,78.8,81.5,115.8,157.9,37.5,133.7
300.,5.503E-03,1.314E-02,0.608,0.882,0.02,3.066E-02,292.1,2.013E-01,1.900E-01,106.1,45.9,56.0,54.8,63.0,86.5,95.5,125.2,142.8,55.0,57.9,62.3,64.5,79.6,82.6,121.1,159.4,37.7,132.1
310.,5.756E-03,1.304E-02,0.618,0.871,0.06,3.103E-02,292.2,2.007E-01,1.896E-01,95.8,45.6,57.6,56.6,65.4,89.3,97.0,124.1,145.3,56.1,57.7,62.3,65.1,81.1,83.9,119.6,160.1,39.3,133.0
320.,5.837E-03,1.330E-02,0.613,0.874,0.06,3.118E-02,292.6,2.008E-01,1.897E-01,99.1,46.8,57.8,58.2,66.0,90.0,98.0,123.1,145.8,56.9,59.3,64.0,65.8,82.5,85.8,118.0,159.3,40.0,134.2
330.,5.918E-03,1.350E-02,0.613,0.881,0.09,3.134E-02,292.3,2.006E-01,1.891E-01,105.1,47.5,57.5,59.1,67.1,90.5,97.5,126.5,148.0,58.0,60.4,66.0,68.0,82.9,86.8,120.9,159.1,40.0,134.5
340.,6.169E-03,1.379E-02,0.614,0.878,0.09,3.172E-02,292.6,2.003E-01,1.891E-01,92.9,48.7,59.2,59.6,67.6,90.1,96.7,127.9,150.9,58.4,61.6,67.6,69.1,84.5,88.1,119.6,159.0,40.6,135.8
350.,6.185E-03,1.424E-02,0.616,0.889,0.09,3.184E-02,292.7,2.002E-01,1.881E-01,101.4,48.5,59.3,59.7,68.9,90.7,97.5,130.3,150.3,59.3,61.6,66.6,68.5,85.2,88.0,119.1,160.9,40.9,136.7
360.,6.291E-03,1.425E-02,0.614,0.890,0.05,3.253E-02,292.6,2.000E-01,1.879E-01,101.9,50.2,60.0,60.1,69.5,93.1,99.3,131.9,151.9,59.5,61.9,66.6,69.3,85.9,88.1,120.2,162.5,42.0,136.9
370.,6.550E-03,1.426E-02,0.618,0.890,0.03,3.264E-02,292.5,1.997E-01,1.879E-01,99.0,51.6,61.0,61.4,70.7,93.4,101.5,130.3,151.5,60.7,62.7,68.0,69.6,86.6,88.7,122.5,163.1,42.6,137.1
380.,6.824E-03,1.411E-02,0.616,0.887,0.04,3.292E-02,292.3,1.993E-01,1.883E-01,95.0,51.8,61.2,62.6,71.6,94.8,103.1,127.8,151.7,60.9,63.4,69.1,70.9,87.4,89.9,122.6,164.1,42.6,138.5
390.,7.121E-03,1.434E-02,0.615,0.887,0.07,3.283E-02,292.6,1.989E-01,1.882E-01,99.7,52.5,61.8,63.9,72.6,95.5,104.4,130.7,153.9,61.5,65.0,71.2,72.9,89.6,92.8,123.9,163.6,42.8,139.8
400.,7.328E-03,1.477E-02,0.615,0.879,0.05,3.337E-02,292.6,1.984E-01,1.875E-01,87.9,52.5,63.1,64.0,73.5,95.5,104.6,133.2,154.7,61.5,65.5,71.5,73.2,91.3,92.8,124.6,165.6,43.4,143.0
410.,7.391E-03,1.497E-02,0.617,0.886,0.10,3.362E-02,292.4,1.983E-01,1.869E-01,88.0,53.6,63.7,65.6,72.7,97.3,104.7,132.2,155.3,61.3,65.0,72.3,74.3,90.8,94.0,127.1,166.9,42.7,143.5
420.,7.963E-03,1.493E-02,0.759,0.715,75.29,3.405E-02,292.4,1.982E-01,1.870E-01,-315.6,54.5,54.9,65.6,58.6,98.1,103.3,133.1,154.3,62.2,59.9,73.2,74.7,91.7,94.1,127.9,166.0,43.9,143.3
430.,9.622E-03,1.380E-02,0.941,0.470,109.37,3.446E-02,292.4,1.955E-01,1.877E-01,-770.3,53.6,33.1,60.6,30.6,90.3,88.1,134.3,152.6,59.8,33.1,71.2,72.0,89.1,88.2,122.9,158.0,42.7,143.0
440.,1.081E-02,1.288E-02,0.794,0.693,108.60,3.479E-02,292.6,1.931E-01,1.897E-01,-340.0,49.0,32.7,49.6,29.5,83.6,79.6,120.8,131.7,51.8,31.0,66.5,65.0,83.2,80.2,106.4,135.7,40.9,137.6
450.,1.145E-02,1.226E-02,0.728,0.754,109.82,3.593E-02,292.3,1.920E-01,1.905E-01,-160.1,41.6,31.1,43.0,28.4,77.9,69.5,106.2,114.8,43.0,29.8,62.5,60.1,74.9,69.7,88.2,117.1,38.7,123.5
460.,1.173E-02,1.188E-02,0.684,0.784,108.75,3.637E-02,292.3,1.917E-01,1.914E-01,-58.5,38.1,30.5,40.5,30.4,72.9,63.4,93.5,103.9,38.2,29.5,59.2,55.5,69.3,62.7,74.3,101.6,37.6,107.6
470.,1.191E-02,1.226E-02,0.667,0.789,109.43,3.989E-02,292.5,1.913E-01,1.912E-01,-18.7,36.6,30.9,38.4,29.8,69.8,61.3,86.7,96.8,36.5,29.4,56.6,51.4,65.3,57.8,69.1,95.5,36.8,99.2
480.,1.209E-02,1.259E-02,0.658,0.801,108.89,4.098E-02,292.6,1.910E-01,1.905E-01,7.1,36.8,31.1,36.8,29.6,67.0,54.4,81.7,93.6,34.6,29.5,54.4,49.0,62.1,54.9,64.4,94.1,35.2,95.0
490.,1.229E-02,1.274E-02,0.650,0.800,109.58,4.285E-02,292.3,1.907E-01,1.904E-01,20.5,34.8,30.8,35.6,28.9,65.2,54.7,78.5,89.9,34.2,29.3,52.3,48.1,59.2,52.9,61.7,93.2,34.9,93.9
500.,1.240E-02,1.295E-02,0.643,0.808,109.07,4.356E-02,292.6,1.905E-01,1.902E-01,33.0,34.6,30.2,34.5,30.3,62.2,51.1,77.5,87.0,33.6,29.3,50.7,46.2,58.3,52.2,60.6,93.4,34.8,91.6
510.,1.270E-02,1.309E-02,0.644,0.811,109.60,4.387E-02,292.9,1.902E-01,1.899E-01,37.0,34.1,31.1,34.3,29.7,60.1,51.1,76.4,86.8,31.4,29.1,49.6,45.0,55.5,50.2,57.1,89.5,35.0,91.1
520.,1.288E-02,1.322E-02,0.637,0.808,109.06,4.436E-02,292.8,1.898E-01,1.895E-01,50.1,33.8,31.5,33.2,29.8,59.2,54.1,74.9,86.1,31.6,28.8,49.3,45.3,55.2,50.7,57.9,89.5,35.4,89.8
530.,1.306E-02,1.353E-02,0.644,0.808,109.30,4.446E-02,292.6,1.896E-01,1.895E-01,43.2,34.7,30.9,33.9,30.2,58.7,54.8,74.1,86.6,30.7,28.1,49.5,45.4,54.1,49.7,58.3,91.2,35.1,89.7
540.,1.327E-02,1.382E-02,0.643,0.808,109.04,4.457E-02,292.9,1.892E-01,1.885E-01,38.9,34.1,31.2,33.7,28.9,59.5,53.2,74.6,88.3,31.0,29.3,48.5,44.8,53.3,49.8,59.2,93.8,35.6,88.7
550.,1.338E-02,1.381E-02,0.643,0.804,109.31,4.461E-02,293.0,1.890E-01,1.886E-01,34.9,34.1,31.1,33.7,30.1,59.8,56.2,73.2,88.3,31.1,29.0,47.3,45.5,53.9,49.9,59.7,95.1,35.8,90.3
560.,1.358E-02,1.398E-02,0.640,0.808,108.98,4.458E-02,292.6,1.888E-01,1.885E-01,45.1,33.7,31.3,34.0,30.2,61.0,59.2,74.4,88.9,31.2,29.5,46.8,45.5,54.2,50.0,58.7,96.8,34.5,90.1
570.,1.371E-02,1.404E-02,0.637,0.805,109.17,4.457E-02,292.5,1.885E-01,1.879E-01,52.1,33.6,31.5,35.6,30.0,61.4,58.9,75.1,89.2,31.1,29.2,47.4,45.3,52.1,48.7,56.9,95.5,34.1,90.4
580.,1.383E-02,1.405E-02,0.643,0.802,109.32,4.453E-02,292.6,1.884E-01,1.879E-01,41.9,34.4,31.7,35.2,29.7,61.1,57.7,78.2,88.7,31.1,28.9,47.1,45.3,51.9,47.8,54.5,95.1,34.3,90.5
590.,1.402E-02,1.432E-02,0.632,0.815,109.45,4.450E-02,292.7,1.880E-01,1.878E-01,67.2,34.4,30.9,35.7,29.6,60.7,55.4,76.1,86.9,30.3,29.1,47.2,45.2,51.5,47.9,58.4,95.5,33.7,90.1
600.,1.416E-02,1.453E-02,0.648,0.803,108.76,4.446E-02,292.9,1.878E-01,1.874E-01,20.6,34.6,31.7,35.8,30.0,59.3,55.1,72.0,86.3,30.2,28.7,47.1,45.0,52.7,50.5,62.5,99.0,35.6,89.8
610.,1.421E-02,1.462E-02,0.654,0.804,109.20,4.433E-02,292.6,1.876E-01,1.873E-01,17.4,34.8,31.2,35.4,30.2,58.0,54.7,72.4,87.0,30.4,28.9,46.5,44.2,51.6,49.8,62.8,98.9,36.0,89.4
620.,1.441E-02,1.479E-02,0.640,0.811,109.15,4.441E-02,292.5,1.875E-01,1.873E-01,44.6,34.7,30.8,36.1,29.5,57.5,50.2,73.8,87.7,30.7,29.2,47.0,43.6,51.8,47.5,59.8,97.0,35.5,89.4
630.,1.461E-02,1.491E-02,0.634,0.812,109.53,4.449E-02,292.6,1.871E-01,1.868E-01,61.4,35.1,30.8,35.5,29.9,57.9,53.5,73.4,88.2,30.1,28.8,46.3,43.6,51.3,47.5,58.7,95.4,35.8,90.8
640.,1.477E-02,1.480E-02,0.638,0.810,109.11,4.451E-02,292.5,1.870E-01,1.870E-01,44.4,35.7,31.0,35.3,29.4,58.6,54.4,73.2,86.7,29.4,29.0,46.8,43.3,50.7,47.5,57.5,94.0,35.1,90.4
650.,1.485E-02,1.498E-02,0.644,0.807,109.22,4.455E-02,292.9,1.868E-01,1.869E-01,34.9,35.2,30.8,33.5,28.6,59.1,51.5,72.8,88.7,29.9,29.1,46.9,43.3,51.1,47.1,56.7,93.1,35.2,90.7
660.,1.499E-02,1.514E-02,0.639,0.812,109.31,4.453E-02,292.8,1.866E-01,1.867E-01,47.0,34.5,30.3,33.3,29.0,58.6,53.1,73.0,89.3,29.8,28.9,46.5,43.8,51.1,48.3,56.9,90.7,35.0,92.6
670.,1.518E-02,1.534E-02,0.638,0.807,109.30,4.455E-02,292.8,1.864E-01,1.863E-01,45.6,34.7,31.0,34.0,30.4,57.7,49.8,74.7,89.3,29.8,28.7,46.9,45.1,50.7,48.3,57.4,88.3,35.1,92.3
680.,1.525E-02,1.548E-02,0.637,0.813,109.40,4.460E-02,292.9,1.861E-01,1.861E-01,44.4,34.9,31.2,33.7,29.7,57.0,51.2,77.2,88.9,29.7,29.6,46.7,44.6,51.2,48.8,59.1,92.8,35.4,92.7
690.,1.532E-02,1.545E-02,0.574,0.854,63.07,4.459E-02,292.8,1.861E-01,1.860E-01,190.5,35.0,30.8,33.5,28.8,58.1,53.3,78.1,88.4,29.5,28.4,46.3,44.6,51.4,48.4,59.9,91.8,35.1,93.4
700.,1.526E-02,1.581E-02,0.421,0.951,0.12,4.467E-02,292.9,1.858E-01,1.859E-01,470.4,34.6,31.4,35.0,28.5,56.7,54.9,79.5,94.2,30.3,29.8,45.6,44.9,50.8,48.9,62.8,102.6,35.8,94.2
710.,1.532E-02,1.683E-02,0.471,0.942,0.10,4.470E-02,292.4,1.860E-01,1.847E-01,379.2,35.0,28.1,35.1,30.5,58.5,58.6,85.1,105.5,31.0,30.4,46.5,44.3,51.7,51.6,77.7,119.4,35.2,103.2
720.,1.532E-02,1.780E-02,0.510,0.937,0.02,4.488E-02,293.3,1.860E-01,1.830E-01,312.9,35.3,28.5,36.4,31.6,63.3,64.9,94.2,119.8,32.0,32.3,47.7,46.7,56.3,58.5,87.0,133.3,34.9,115.0
730.,1.529E-02,1.878E-02,0.529,0.932,0.07,4.518E-02,292.5,1.859E-01,1.814E-01,278.1,35.1,28.7,39.8,38.0,68.3,72.7,104.3,128.4,31.6,34.8,49.3,49.6,60.7,62.9,99.6,145.1,34.1,122.1
740.,1.404E-02,1.939E-02,0.544,0.929,0.08,4.724E-02,293.4,1.865E-01,1.804E-01,246.9,34.5,28.8,41.4,44.2,73.2,80.2,108.8,134.2,32.3,38.5,50.8,52.7,63.9,67.6,109.2,152.3,33.2,127.6
750.,1.224E-02,1.985E-02,0.555,0.924,0.09,4.767E-02,292.9,1.904E-01,1.794E-01,220.8,34.7,30.8,44.3,48.5,78.3,87.0,117.2,142.0,33.2,42.2,53.6,55.8,66.4,70.7,117.8,157.3,33.3,132.4
760.,1.167E-02,1.979E-02,0.567,0.922,0.08,4.920E-02,293.2,1.920E-01,1.795E-01,197.9,36.1,31.5,46.0,47.9,83.2,91.9,121.5,147.8,34.2,45.6,55.4,58.4,70.8,76.0,121.6,164.4,33.2,140.4
770.,1.178E-02,2.041E-02,0.576,0.919,0.05,4.993E-02,292.0,1.917E-01,1.789E-01,177.3,36.6,32.0,47.4,52.4,87.3,96.1,125.9,154.1,36.1,49.0,57.1,60.4,73.1,78.3,123.8,169.4,33.4,144.9
780.,1.186E-02,2.020E-02,0.578,0.919,0.05,5.059E-02,292.0,1.912E-01,1.785E-01,169.4,37.7,33.0,48.9,53.1,88.2,97.4,130.2,155.5,37.4,51.5,58.6,61.8,75.7,81.0,128.1,171.4,33.7,146.2
790.,1.174E-02,2.040E-02,0.590,0.913,0.04,5.107E-02,293.5,1.913E-01,1.788E-01,151.8,40.1,32.6,50.9,56.2,90.5,99.8,134.0,157.9,39.4,55.2,60.6,63.3,78.2,84.9,130.3,173.3,35.3,146.7
800.,1.172E-02,2.065E-02,0.595,0.912,0.08,5.131E-02,293.1,1.916E-01,1.783E-01,138.7,41.8,34.2,51.5,61.5,92.3,101.9,136.5,159.6,42.0,57.6,63.0,66.7,81.4,87.8,131.9,175.6,37.0,148.3
810.,1.186E-02,2.059E-02,0.596,0.909,0.10,5.159E-02,292.6,1.914E-01,1.781E-01,138.4,43.1,35.0,53.3,64.6,94.6,103.9,139.3,164.1,45.8,59.1,64.6,67.5,82.1,89.2,132.6,180.0,37.1,151.4
820.,1.184E-02,2.029E-02,0.597,0.909,0.05,5.161E-02,292.6,1.914E-01,1.783E-01,132.0,45.4,35.0,54.7,67.3,96.3,103.9,136.2,166.7,47.9,60.4,65.1,69.6,84.6,90.9,133.0,180.2,38.5,156.0
830.,1.174E-02,2.045E-02,0.599,0.911,0.06,5.159E-02,292.7,1.915E-01,1.785E-01,130.7,46.2,34.6,55.9,65.3,96.9,104.9,137.2,167.7,49.1,62.2,66.9,69.7,85.0,91.6,133.3,181.1,39.2,157.5
840.,1.169E-02,2.028E-02,0.594,0.914,0.11,5.147E-02,292.6,1.915E-01,1.786E-01,137.9,45.8,32.9,56.5,65.7,98.0,106.4,140.2,168.2,51.0,63.2,68.4,71.0,85.5,90.3,134.5,182.8,41.2,157.7
850.,1.158E-02,2.009E-02,0.598,0.919,0.08,5.157E-02,293.6,1.917E-01,1.787E-01,133.9,47.6,32.7,58.5,67.2,100.9,108.6,140.6,169.6,51.9,65.1,69.0,71.3,86.3,92.1,135.2,184.3,42.5,157.2
860.,1.170E-02,1.998E-02,0.607,0.911,0.09,5.151E-02,293.4,1.917E-01,1.791E-01,119.4,48.9,33.9,59.0,68.4,101.2,110.3,140.7,170.2,52.8,65.2,70.1,72.2,87.6,92.7,137.7,185.4,42.7,158.6
870.,1.172E-02,1.978E-02,0.599,0.910,0.03,5.145E-02,293.4,1.919E-01,1.794E-01,128.2,49.8,33.8,60.4,71.0,102.6,109.9,141.6,171.4,55.5,66.0,71.5,72.4,91.2,95.4,140.2,185.2,43.2,159.2
880.,1.150E-02,1.986E-02,0.602,0.910,0.03,5.140E-02,292.6,1.918E-01,1.796E-01,121.0,50.1,34.9,61.6,72.7,103.9,112.3,144.4,169.8,57.1,66.5,72.9,74.8,92.9,98.0,142.4,184.5,44.2,158.1
890.,1.134E-02,1.979E-02,0.605,0.914,0.11,5.135E-02,292.5,1.921E-01,1.794E-01,119.9,49.7,35.7,62.6,75.0,104.6,112.8,146.5,171.1,58.3,67.8,73.6,75.6,94.5,99.3,143.2,185.3,45.7,159.0
900.,1.125E-02,1.950E-02,0.596,0.912,0.12,5.126E-02,293.0,1.922E-01,1.795E-01,135.7,49.3,36.0,62.6,76.6,107.0,114.8,148.0,171.8,59.6,68.6,74.8,76.9,95.4,100.1,142.2,186.4,46.7,159.7
910.,1.121E-02,1.923E-02,0.602,0.914,0.06,5.120E-02,293.7,1.924E-01,1.803E-01,124.9,49.0,35.8,63.1,77.3,108.3,116.5,145.2,171.3,61.1,68.8,75.1,77.3,96.9,101.2,141.3,187.2,47.1,158.2
920.,1.121E-02,1.942E-02,0.612,0.909,0.05,5.065E-02,293.1,1.925E-01,1.802E-01,105.3,48.8,36.6,63.8,77.8,109.3,116.8,147.2,171.5,61.9,70.2,76.5,78.2,98.2,100.2,142.6,186.9,47.6,159.3
930.,1.119E-02,1.968E-02,0.606,0.916,0.05,5.054E-02,292.8,1.923E-01,1.800E-01,115.9,49.5,37.3,64.4,78.8,111.1,117.1,145.2,172.5,63.9,70.7,78.2,80.3,97.3,100.7,148.1,190.2,49.4,160.7
940.,1.108E-02,1.973E-02,0.602,0.924,0.04,5.020E-02,292.4,1.924E-01,1.797E-01,123.7,50.2,37.7,65.3,79.2,111.1,117.6,145.1,172.8,64.4,70.8,78.0,80.8,97.8,102.9,146.6,189.2,49.5,160.6
950.,1.107E-02,1.937E-02,0.603,0.920,0.08,5.023E-02,292.9,1.925E-01,1.796E-01,118.8,51.9,37.9,65.2,79.6,112.4,117.5,145.4,173.5,65.2,71.2,78.5,82.5,99.9,104.3,143.9,189.5,48.9,161.0
960.,1.128E-02,1.908E-02,0.610,0.910,0.09,5.016E-02,292.7,1.925E-01,1.801E-01,111.2,52.3,37.7,65.3,80.9,112.8,117.0,147.0,174.0,66.9,72.5,78.5,82.7,99.5,101.5,145.1,192.7,50.6,162.6
970.,1.137E-02,1.869E-02,0.605,0.918,0.10,5.006E-02,292.6,1.925E-01,1.809E-01,114.9,53.9,38.1,66.2,81.6,112.8,117.0,146.9,174.9,68.2,73.6,78.8,82.3,100.4,102.0,146.9,193.2,49.9,164.9
