Time,Q_vent,Q_wall,Q_water
s,kW,kW,kW
250,-102.2,-189.8,0
300,-102.2,-189.8,0
350,-102.2,-189.8,0
400,-102.2,-189.8,0
450,NaN,NaN,NaN
500,-29.2,-73,-189.8
550,-29.2,-73,-189.8
600,-29.2,-73,-189.8
650,-29.2,-73,-189.8
