H,D1,D2,D3,D4,D5,D6
2.05,2.67,2.519090909,2.645,3.1075,3.595,2.035714286
1.925,2.43,2.226363636,2.323333333,2.755,3.215,1.784285714
1.8,2.111428571,1.925454545,2.01,2.4175,2.865,1.558571429
1.675,1.819285714,1.621818182,1.754166667,2.1175,2.425,1.27
1.55,1.545714286,1.328181818,1.441666667,1.795,2.105,1.125714286
1.425,1.152142857,0.901818182,1.1025,1.4925,1.585,0.92
1.3,0.682142857,0.199090909,0.5075,1.1175,0.835,0.344285714
1.175,-0.193571429,-0.435454545,-0.275833333,-0.1475,-0.525,-0.245714286
1.05,-0.519285714,-0.538181818,-0.524166667,-0.76,-0.815,-0.534285714
0.925,-0.57,-0.556363636,-0.614166667,-0.6825,-0.815,-0.544285714
0.8,-0.633571429,-0.602727273,-0.684166667,-0.86,-0.92,-0.637142857
0.55,-0.742857143,-0.707272727,-0.805,-0.9825,-1.02,-0.754285714
0.3,-0.862142857,-0.799090909,-0.904166667,-1.215,-1.11,-0.784285714
0.05,-0.823571429,-0.767272727,-0.898333333,-1.22,-1.085,-0.87
