27 x,27 y,53 x,53 y,100 x,100 y
1.048949729132E0,-2.334630864797E1,2.272725969231E0,-3.190662018614E1,2.272725969231E0,-3.482490821051E1
4.020977740801E0,-1.964981048376E1,7.692306461098E0,-2.957198976664E1,8.041956815412E0,-3.560311835035E1
8.741257524040E0,-1.303502429517E1,1.486013872454E1,-2.626459667234E1,1.486013872454E1,-3.560311835035E1
1.223776106718E1,-1.225681415534E1,2.919580325141E1,-1.809339020409E1,3.199300608592E1,-3.229572525605E1
1.503496390169E1,-9.143973596001E0,4.055943976662E1,-1.089494641063E1,5.192307628182E1,-2.801556948697E1
1.486013872454E1,5.642019060840E0,4.388111813260E1,-5.836580501707E0,6.940559399752E1,-2.217899343822E1
9.265733055511E0,1.556419834372E1,4.632867061280E1,-4.452954158296E-6,8.548951029597E1,-1.381323443500E1
2.972026677859E0,2.373540481198E1,4.195804118387E1,6.031124130757E0,9.527972021676E1,-4.863817826915E0
,,3.653846069201E1,9.143964690092E0,9.895104893706E1,2.918283571422E0
,,2.867132771994E1,1.225680524943E1,1.003496503543E2,9.922174829926E0
,,2.010489403925E1,1.731517115835E1,1.000000000000E2,1.400777806405E1
,,1.451048837022E1,2.023345918272E1,9.143356631931E1,2.412450988189E1
,,6.818180575313E0,2.412450988189E1,8.409090887871E1,2.645914030139E1
,,,,6.241258691124E1,2.918287579081E1
,,,,4.335664260113E1,3.054474353552E1
,,,,2.709790112553E1,3.112840114040E1
,,,,1.276223659865E1,2.898832325585E1
,,,,4.720278449429E0,2.762645551114E1
,,,,-1.333810253357E-6,2.451361495181E1
