Time,Based On Efficiency,Raw (Calculated)
s,kW,kW
0.00,251.49,457.11
2.00,3719.54,8569.38
18.50,13221.96,27504.18
48.00,20765.03,48258.60
77.00,26373.89,61541.96
106.50,40038.91,89006.39
136.00,34838.62,86170.22
166.00,22552.60,39871.06
197.00,39843.73,52710.21
227.50,81953.38,96318.01
258.00,88996.41,101063.85
287.00,93560.88,105017.62
316.50,91778.39,101632.50
347.50,84393.30,92476.97
378.00,89016.52,98414.06
408.50,92919.91,102378.46
438.50,99300.11,108526.54
468.50,100326.82,110485.46
498.50,104749.79,116447.35
528.50,97467.22,108246.73
558.50,99476.91,110588.01
588.50,96062.86,107064.77
618.50,96679.34,107542.67
648.50,86674.42,96718.51
678.50,103582.72,115013.96
708.00,106932.62,119149.67
738.00,107471.33,119512.54
768.50,101423.61,112646.94
798.50,103235.48,114674.22
828.50,105101.82,116413.88
858.50,98790.41,109481.85
888.50,93037.05,103716.64
917.00,81061.33,89532.79
945.50,83655.35,92261.44
976.00,77782.55,86094.02
1007.50,85745.69,94643.58
1038.50,84814.91,93510.86
1067.00,86886.00,96154.62
1096.00,84693.60,93666.40
1126.50,88233.92,97318.02
1157.50,88776.35,98974.35
1188.50,83396.88,92531.17
1218.50,83377.04,92962.93
1248.50,81867.23,90991.93
1278.00,87267.82,96944.26
1308.00,84588.81,93711.48
1338.50,91180.60,100809.16
1367.50,92328.88,102354.85
1397.50,98138.56,108262.95
1428.00,100673.56,110777.17
1456.00,103377.10,113792.16
1484.50,99378.22,109307.27
1516.50,66008.22,72632.93
1548.50,53249.17,58439.98
1577.00,44095.65,48303.59
1605.50,4611.26,5052.32
1634.50,14262.78,15550.77
1666.00,150335.02,163839.97
1698.00,130899.57,142661.77
1728.00,68509.96,74594.64
1757.00,74916.71,81669.69
1787.00,63130.46,68770.61
1818.50,60969.20,66410.04
1848.50,69461.97,75490.18
1878.00,69089.45,74783.84
1908.00,58075.08,62933.28
1938.50,35295.07,38261.04
1966.50,32836.80,35637.07
1996.50,34093.87,36918.80
2028.50,24339.71,25939.00
2057.50,19337.89,20277.10
2087.50,16019.94,16612.29
2118.50,24496.24,25285.48
2148.50,14384.72,14886.96
2177.00,9537.65,9868.18
2207.00,12742.25,13197.00
2238.50,8804.17,9090.28
2267.00,12118.37,12504.83
2297.00,9421.05,9722.58
2328.50,7013.30,7231.76
2358.50,12743.84,13149.25
2388.50,20253.87,20913.38
2418.50,10081.06,10410.63
2448.50,3531.42,3649.68
2477.00,164.86,169.86
2507.00,164.86,169.86
