Time,CT214J3,CT214F2,CT209H2,CT209F2,CT209C2,CT207H2,CT207F2,CT207C2,CT307H2,CT307F2,CT307C2,CT302H2,CT302F2,CT302C2,CT301H2,CT301F2,CT301C2,CT202J3,CT202F2,CT202C2
s,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm
0.00,0.00,0.30,293.37,359.05,0.00,43.75,60.66,2.96,199.28,103.80,2.59,2.14,48.62,13.07,63.78,39.37,3.48,292.06,252.76,11.83
13.50,0.00,0.30,351.63,387.65,0.00,58.98,71.74,2.96,199.28,103.46,2.59,2.14,161.07,10.99,63.78,39.37,2.32,259.40,264.12,5.13
41.50,0.00,0.30,326.16,370.95,0.00,83.84,110.72,2.96,238.96,107.48,2.59,0.30,109.00,12.68,0.30,0.30,3.51,41.20,263.93,10.50
71.50,0.00,0.30,331.27,373.89,0.00,75.54,525.35,2.99,238.96,110.17,2.59,0.30,792.21,13.55,759.84,0.30,2.96,41.20,383.39,36.49
101.50,0.00,0.30,314.76,381.78,0.00,52.80,885.57,4.12,302.64,186.83,2.59,0.30,1921.01,10.01,1617.63,301.06,3.91,41.20,2304.16,164.57
131.50,0.00,0.30,328.19,384.83,0.00,58.24,1096.21,4.12,447.70,428.32,2.59,0.30,2261.03,31.03,2045.20,542.14,2.93,287.58,3488.52,198.22
161.50,0.00,0.30,356.26,376.46,0.00,69.99,1106.34,5.89,513.01,544.93,2.84,0.30,2214.47,148.62,2310.67,608.97,3.85,229.23,3533.21,205.87
191.50,0.00,0.30,320.82,361.31,0.00,69.35,755.98,11.78,600.29,660.10,8.36,0.30,2106.77,197.68,2229.53,531.01,2.94,259.25,3411.69,222.83
220.50,0.00,0.30,339.87,380.28,0.00,1145.81,239.77,6.29,577.71,892.13,9.75,0.30,2239.04,208.19,2141.83,436.71,16.04,418.91,3498.12,230.32
250.50,0.00,0.30,327.41,369.04,0.00,1903.27,138.21,4.97,509.04,754.41,9.75,0.30,2205.20,214.30,2239.80,438.17,106.87,227.66,3529.11,218.35
281.50,0.00,0.30,326.90,368.07,0.00,2101.68,131.33,4.97,386.26,394.42,9.75,0.30,2203.22,210.56,2246.88,399.28,146.79,420.13,3512.04,213.20
311.50,0.00,0.30,331.12,375.98,0.00,2189.62,109.43,4.97,285.95,205.39,9.75,0.30,2232.68,193.70,2223.04,409.61,164.66,584.09,3514.97,237.67
342.00,0.00,0.30,312.93,369.92,0.00,1659.08,132.31,2.96,285.95,117.67,9.75,0.30,2248.81,219.39,2261.14,396.73,173.20,152.97,3506.01,239.42
371.50,0.00,0.30,317.86,356.18,0.00,777.86,128.55,2.96,285.95,111.39,9.75,0.30,2286.21,227.55,2311.81,403.14,164.70,54.47,3542.96,240.05
