Time,202-T-A2,202-T-B2,202-T-C2,202-T-D2,202-T-E2,202-T-F2,202-T-G2,301-T-A2,301-T-B2,301-T-C2,301-T-D2,301-T-E2,301-T-F2,301-T-G2,301-T-H2,302-T-A2,302-T-B2,302-T-C2,302-T-D2,302-T-E2,302-T-F2,302-T-G2,302-T-H2,303-T-A2,303-T-B2,303-T-C2,303-T-D2,303-T-E2,303-T-F2,303-T-G2,303-T-H2,304-T-A2,304-T-B2,304-T-C2,304-T-D2,304-T-E2,304-T-F2,304-T-G2,304-T-H2,205-T-A2,205-T-B2,205-T-C2,205-T-D2,205-T-E2,205-T-F2,205-T-G2,205-T-H2,305-T-A2,305-T-B2,305-T-C2,305-T-D2,305-T-E2,305-T-F2,305-T-G2,305-T-H2,306-T-A2,306-T-B2,306-T-C2,306-T-D2,306-T-E2,306-T-F2,306-T-G2,306-T-H2,307-T-A2,307-T-B2,307-T-C2,307-T-D2,307-T-E2,307-T-F2,307-T-G2,307-T-H2,207-T-A2,207-T-B2,207-T-C2,207-T-D2,207-T-E2,207-T-F2,207-T-G2,207-T-H2,208-T-A2,208-T-B2,208-T-C2,208-T-D2,208-T-E2,208-T-F2,208-T-G2,208-T-H2,209-T-A2,209-T-B2,209-T-C2,209-T-D2,209-T-E2,209-T-F2,209-T-G2,209-T-H2,211-T-A2,211-T-B2,211-T-C2,211-T-D2,211-T-E2,211-T-F2,211-T-G2,211-T-H2,213-T-A2,213-T-B2,213-T-C2,213-T-D2,213-T-E2,213-T-F2,213-T-G2,213-T-H2,214-T-A2,214-T-B2,214-T-C2,214-T-D2,214-T-E2,214-T-F2,214-T-G2
s,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
0.0,7,8,9,8,8,8,8,8,8,10,10,10,10,10,11,9,10,10,10,11,10,10,11,10,10,10,11,11,13,19,23,10,12,13,13,13,17,34,46,13,25,21,19,18,20,29,42,10,12,12,12,13,25,28,40,11,11,11,10,12,16,23,24,11,11,11,11,11,11,11,12,11,10,10,10,10,11,11,11,10,11,11,11,11,11,12,12,10,10,11,11,11,11,11,11,9,9,10,10,11,11,11,12,10,10,11,11,11,11,11,11,8,8,10,11,11,11,11
2.5,7,8,9,8,8,8,8,8,8,10,10,10,10,10,11,9,10,10,10,11,13,23,34,10,11,12,12,13,26,76,92,14,17,19,18,19,60,106,152,26,68,59,51,48,70,128,174,14,15,16,16,17,56,81,135,11,11,12,10,12,33,79,84,11,11,11,11,17,30,31,49,11,10,10,10,10,11,11,11,10,11,11,11,11,11,12,12,10,10,11,11,11,11,11,11,9,9,10,10,11,11,11,12,10,10,11,11,11,11,11,11,8,8,10,11,11,11,11
20.0,7,8,9,8,8,8,8,8,8,10,10,10,10,15,26,9,10,10,10,12,15,60,77,12,13,14,14,18,78,153,166,20,24,26,25,45,140,187,238,48,126,111,102,100,156,276,369,17,20,21,20,30,91,139,243,12,12,13,13,14,65,149,169,12,12,12,12,23,64,66,120,11,10,10,14,20,35,52,73,10,11,11,11,11,11,12,12,10,10,11,11,11,11,11,11,9,9,10,10,11,11,11,12,10,10,11,11,11,11,11,11,8,10,10,11,11,11,11
50.5,7,8,9,8,8,8,8,8,8,10,10,10,10,18,40,9,10,10,10,12,21,82,101,12,13,14,14,27,121,182,191,25,27,30,30,84,179,226,263,73,175,161,152,147,231,356,453,21,26,27,28,51,109,164,271,13,13,15,13,21,98,184,195,12,14,12,12,40,85,88,153,11,10,12,13,29,60,86,111,10,11,12,14,18,31,40,47,10,10,11,11,11,11,11,11,9,9,10,10,11,11,11,12,10,10,11,11,11,11,11,11,9,10,10,11,11,11,11
80.0,7,8,9,8,8,8,8,8,8,10,10,10,10,22,44,9,10,10,10,12,32,86,105,12,13,14,14,35,139,190,196,25,27,29,30,99,189,231,251,124,236,239,280,232,287,359,428,26,31,36,38,102,128,185,283,15,15,16,15,49,137,203,213,12,14,13,14,60,109,102,170,12,12,12,13,38,78,107,130,10,11,12,17,25,46,65,71,10,10,11,11,20,23,23,26,9,9,10,10,11,11,11,12,10,10,11,11,11,11,11,11,10,10,10,11,11,11,11
109.5,7,8,9,8,8,8,8,8,8,10,10,10,10,27,44,9,10,10,10,12,42,89,107,12,13,14,14,50,142,185,191,25,27,27,29,106,190,224,241,179,293,478,447,308,301,345,378,29,35,42,47,122,136,197,289,15,15,17,18,81,163,214,223,14,14,13,15,77,136,114,181,12,12,12,17,55,99,125,144,10,11,12,17,29,57,82,87,10,10,13,16,27,35,45,50,9,9,10,10,11,11,11,12,10,10,11,11,11,11,11,11,10,10,10,11,11,11,11
138.5,7,8,9,8,7,8,8,8,8,10,10,10,10,29,47,9,10,10,10,12,46,92,106,12,13,14,14,58,145,180,186,25,26,26,33,117,186,219,235,215,344,582,462,317,305,334,356,29,32,40,47,123,153,203,291,15,16,17,19,87,164,214,224,14,15,13,17,86,143,119,184,22,23,24,32,68,111,134,149,10,11,12,15,29,53,72,78,10,10,13,23,33,46,59,65,9,9,10,13,19,24,28,30,10,10,11,11,11,11,11,11,10,10,10,11,11,11,11
168.0,7,8,9,8,7,8,8,8,8,10,10,14,31,60,76,9,11,12,12,25,87,123,137,12,13,17,25,109,170,198,209,30,32,37,52,146,204,236,266,187,282,356,349,281,310,359,362,26,26,34,32,78,165,202,280,16,16,19,31,69,146,196,208,17,19,29,39,88,131,109,166,40,48,41,59,74,100,121,130,16,17,20,21,27,38,52,54,10,10,13,21,30,39,46,47,9,9,12,18,29,34,41,43,10,10,11,11,11,11,11,11,8,10,10,9,9,10,9
198.5,7,8,9,8,11,13,11,8,10,10,18,29,81,114,125,11,13,15,32,89,143,167,181,16,25,38,87,162,203,237,256,39,44,56,103,191,237,277,349,137,210,202,236,228,306,365,370,22,24,36,51,84,198,230,304,25,25,35,69,84,151,210,221,24,26,46,55,87,123,106,162,40,42,35,44,46,57,74,72,16,22,23,23,25,32,39,39,10,10,13,17,23,26,28,29,9,9,12,22,29,36,41,42,10,10,11,11,11,11,11,11,8,8,8,8,9,8,8
