Time,CT214J3,CT214F2,CT209H2,CT209F2,CT209C2,CT207H2,CT207F2,CT207C2,CT307H2,CT307F2,CT307C2,CT302H2,CT302F2,CT302C2,CT301H2,CT301F2,CT301C2,CT202J3,CT202F2,CT202C2
s,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm
0.00,0.00,0.30,0.30,35.55,0.03,0.30,59.36,0.00,283.51,178.39,0.06,0.30,48.98,0.00,88.48,0.30,8.52,264.15,51.17,0.00
7.50,0.00,0.30,0.30,35.91,0.01,0.30,81.83,0.00,283.51,190.58,0.06,0.30,48.98,0.00,58.37,0.30,10.56,380.42,50.11,0.00
29.50,0.00,0.30,0.30,43.03,0.00,0.30,108.49,0.00,283.51,164.19,0.06,0.30,48.98,0.00,40.94,0.30,10.74,466.44,54.69,0.00
59.50,0.00,0.30,0.30,26.96,0.21,0.30,110.61,0.00,283.51,152.28,0.06,0.30,36.52,0.00,34.94,0.30,11.83,326.74,54.78,0.00
90.00,0.00,0.30,0.30,32.96,0.03,0.30,73.81,0.00,283.51,164.84,0.06,0.30,104.27,0.00,34.94,0.30,10.19,568.13,59.51,0.00
120.50,0.00,0.30,0.30,27.01,0.00,0.30,82.12,0.00,283.51,151.80,0.06,0.30,409.86,9.95,110.78,0.30,10.74,689.10,55.49,12.09
150.50,0.00,0.30,0.30,27.01,0.04,0.30,82.96,0.00,283.51,153.63,0.06,0.30,561.66,27.59,374.29,0.30,10.74,406.07,421.20,23.84
180.50,0.00,0.30,0.30,33.16,0.21,0.30,90.84,0.00,283.51,139.59,0.06,0.30,597.12,27.89,430.70,0.30,20.08,449.89,731.77,25.79
210.50,0.00,0.30,0.30,35.78,0.04,0.30,68.87,0.00,283.51,130.40,0.06,89.24,615.40,28.56,436.41,0.30,36.19,277.43,873.73,26.73
240.50,0.00,0.30,0.30,28.92,0.00,0.30,117.15,0.00,228.58,144.13,0.06,134.89,636.30,27.04,406.14,0.30,36.19,221.76,870.27,28.31
270.50,0.00,0.30,0.30,25.33,0.19,0.30,43.30,0.00,228.58,145.35,0.06,178.90,639.28,30.23,383.06,0.30,41.81,188.80,858.82,28.48
299.50,0.00,0.30,0.30,31.43,0.03,0.30,77.44,0.00,213.93,152.08,0.06,211.79,713.99,32.75,323.07,0.30,41.81,396.49,880.51,34.93
328.50,0.00,34.69,0.30,37.54,0.71,0.30,68.67,0.00,234.68,129.96,0.06,195.97,730.36,31.49,340.04,0.30,41.81,203.25,896.38,34.03
358.50,0.00,34.69,0.30,50.35,0.00,0.30,69.16,0.00,234.68,140.30,0.06,236.62,830.40,31.43,354.80,0.30,41.50,203.25,886.97,31.37
388.50,0.00,34.69,0.30,50.51,0.00,0.30,76.70,0.00,190.74,120.61,0.06,258.49,841.92,37.29,393.58,0.30,40.47,203.25,962.32,34.22
419.00,0.00,34.69,0.30,38.15,0.03,0.30,79.89,0.00,190.74,123.90,0.06,283.82,906.39,38.27,372.38,0.30,45.90,203.25,1016.46,35.17
449.50,0.00,34.69,0.30,27.40,0.03,0.30,84.81,0.00,190.74,112.71,0.06,292.36,904.92,38.27,385.40,0.30,45.90,203.25,983.38,36.21
479.50,0.00,21.36,0.30,36.01,0.21,14.04,86.92,0.00,190.74,118.64,0.06,303.35,1000.99,38.39,427.28,0.30,45.96,203.25,1004.67,40.25
509.50,0.00,49.13,0.30,37.54,0.07,14.04,112.56,0.00,144.35,131.53,0.06,303.50,1079.54,36.24,482.61,0.30,45.93,203.25,1050.28,41.16
539.50,0.00,49.13,0.30,34.48,0.00,14.04,78.95,0.00,161.44,107.12,0.06,302.07,1111.83,38.96,528.88,0.30,47.85,203.25,1127.00,43.01
570.00,0.00,49.13,0.30,27.97,0.00,14.04,67.96,0.00,150.45,125.02,0.06,334.78,1160.60,35.34,555.92,0.30,47.85,203.25,1143.66,40.47
600.50,0.00,49.13,0.30,37.19,0.00,14.04,72.02,2.96,147.71,125.67,0.06,364.69,1283.96,35.34,597.39,0.30,50.84,203.25,1222.96,43.48
630.50,0.00,49.13,0.30,44.25,0.00,14.04,79.43,2.96,147.71,109.12,0.06,345.77,1338.58,38.27,729.48,0.30,47.91,203.25,1264.08,41.66
660.50,0.00,49.13,0.30,29.26,0.00,14.04,95.29,2.96,147.71,98.35,0.06,366.28,1347.37,38.51,768.42,27.16,46.20,203.25,1360.49,44.31
690.50,0.00,49.13,0.30,42.19,0.00,16.78,66.50,2.96,147.71,90.49,0.06,400.77,1330.15,45.23,845.74,28.08,46.20,203.25,1429.00,40.41
720.50,0.00,49.13,0.30,44.83,0.03,16.78,96.91,2.96,80.26,111.01,0.06,429.85,1359.01,46.12,832.99,25.02,46.20,203.25,1510.39,49.26
750.50,0.00,49.13,0.30,35.60,0.07,16.78,94.54,2.96,100.40,96.61,0.06,421.99,1428.06,44.62,854.50,33.45,48.77,203.25,1511.45,49.03
780.50,0.00,49.13,0.30,45.41,0.10,16.78,62.87,2.96,100.40,74.23,0.06,429.65,1420.14,45.03,859.42,33.45,46.20,203.25,1514.78,48.85
810.50,0.00,49.13,0.30,31.31,0.00,16.78,89.54,2.96,100.40,76.06,0.06,420.41,1417.49,43.21,930.93,42.11,48.87,203.25,1536.06,53.43
840.50,0.00,49.13,0.30,46.43,0.10,16.78,99.18,2.96,57.88,64.85,0.06,442.82,1359.93,45.86,956.83,24.41,46.81,203.25,1576.21,53.98
870.50,0.00,49.13,0.30,37.08,0.03,13.58,59.55,2.96,67.65,74.52,0.06,451.80,1219.42,38.39,907.34,41.61,49.74,203.25,1620.32,50.18
899.50,0.00,49.13,0.30,23.19,0.00,13.58,78.20,2.96,67.65,74.69,0.06,451.80,1159.58,38.39,789.89,5.80,49.50,203.25,1621.68,46.57
929.00,0.00,49.13,0.30,22.74,0.03,13.58,90.14,2.96,34.48,71.72,0.06,419.62,1163.50,40.55,736.25,5.80,52.67,203.25,1473.37,47.43
959.50,0.00,49.13,0.30,29.98,0.03,13.58,88.30,2.96,76.60,50.96,0.06,389.33,1127.86,38.31,661.49,5.80,48.89,203.25,1406.54,40.41
990.00,0.00,49.13,0.30,42.42,0.03,13.58,122.15,2.96,76.60,63.07,0.06,356.02,1209.54,42.26,645.61,5.80,51.82,203.25,1304.80,48.35
1020.00,0.00,49.13,0.30,42.42,0.00,13.58,78.07,2.96,46.39,45.84,0.06,334.52,1388.88,41.32,680.41,5.80,46.94,203.25,1279.66,41.39
1050.00,0.00,49.13,0.30,36.77,0.00,13.58,124.21,3.02,46.39,56.76,0.06,322.09,1458.52,30.80,864.39,5.80,47.18,203.25,1266.50,37.89
1080.00,0.00,49.13,0.30,28.69,0.04,13.58,88.01,3.02,46.39,63.17,0.06,355.60,1491.05,38.42,1016.03,5.80,42.91,203.25,1323.11,41.58
1110.00,0.00,49.13,0.30,29.81,0.03,13.58,68.94,3.02,50.35,41.10,0.06,403.14,1434.26,42.91,947.33,31.56,37.05,203.25,1540.01,47.81
1140.50,0.00,49.13,0.30,23.19,0.00,13.58,96.32,3.02,33.26,29.72,0.06,482.12,1411.98,49.50,928.94,0.30,45.63,203.25,1664.66,53.25
1170.50,0.00,49.13,0.30,30.21,0.03,13.58,79.39,3.02,75.38,44.96,0.06,455.74,1383.18,50.03,883.84,0.30,48.81,203.25,1700.06,60.20
1200.50,0.00,49.13,0.30,30.21,0.00,13.58,81.48,3.02,75.38,57.81,0.06,452.58,1314.83,46.20,834.71,0.30,53.80,203.25,1696.93,54.26
1230.50,0.00,49.13,0.30,30.21,0.10,13.58,85.89,3.02,51.88,0.30,0.06,460.92,1065.61,46.77,782.48,0.30,53.80,203.25,1677.52,47.30
1260.50,0.00,49.13,0.30,26.86,0.00,13.58,103.66,3.02,51.88,50.35,0.06,444.89,994.45,39.04,580.09,0.30,47.91,203.25,1632.10,40.47
1290.50,0.00,49.13,0.30,26.86,0.03,13.58,77.54,3.02,51.88,59.14,0.06,442.12,971.95,37.66,404.36,0.30,48.77,203.25,1383.16,40.63
1320.50,0.00,49.13,0.30,20.90,0.13,13.58,93.33,3.02,51.88,37.20,0.06,366.77,906.08,39.31,431.38,0.30,45.59,203.25,1178.30,37.90
1350.50,0.00,49.13,0.30,20.90,0.10,13.58,92.56,3.02,51.88,53.52,0.06,284.73,876.70,41.32,353.40,0.30,45.96,203.25,1144.30,39.45
1380.50,0.00,49.13,0.30,52.49,0.03,13.58,73.49,3.02,51.88,58.78,0.06,292.87,933.99,32.41,399.11,0.30,40.10,203.25,1049.01,40.05
1410.50,0.00,49.13,0.30,36.32,0.00,13.58,82.59,3.02,51.88,77.09,0.06,248.72,909.08,38.39,488.90,0.30,40.10,203.25,1010.60,37.48
1440.50,0.00,49.13,0.30,33.26,0.07,13.58,93.12,3.02,51.88,38.09,0.06,252.56,968.34,38.39,471.77,0.30,40.96,203.25,1059.59,41.26
1470.50,0.00,49.13,0.30,31.94,0.04,13.58,111.79,3.02,51.88,49.59,0.06,265.34,1024.85,42.22,623.71,0.30,42.02,203.25,1078.11,44.09
1500.50,0.00,49.13,0.30,31.28,0.00,13.58,115.73,3.02,32.04,55.12,0.06,285.34,1014.52,42.22,711.20,0.30,42.95,203.25,1165.62,47.24
1530.50,0.00,49.13,0.30,28.87,0.03,13.58,114.25,3.02,32.04,30.42,0.06,294.50,1055.74,40.96,813.61,0.30,42.95,203.25,1227.30,47.18
1560.50,0.00,49.13,0.30,37.89,0.00,13.58,132.79,3.02,32.04,56.82,0.06,298.92,1098.95,39.51,910.19,0.30,46.92,203.25,1249.32,43.40
1590.50,0.00,49.13,0.30,0.30,0.00,13.58,85.35,3.02,32.04,44.94,0.06,304.11,1116.47,44.21,1041.84,0.30,48.85,203.25,1298.08,46.45
1620.50,0.00,49.13,0.30,32.04,0.07,13.58,88.70,3.02,32.04,42.42,0.06,304.51,1188.29,41.81,1126.66,32.96,44.98,203.25,1349.30,46.27
1650.50,0.00,49.13,0.30,43.55,0.02,13.58,102.70,3.02,32.04,48.37,0.06,296.33,1194.01,44.25,1245.52,66.71,44.98,203.25,1424.63,50.90
1680.50,0.00,35.71,0.30,29.98,0.00,13.58,112.22,3.02,32.04,19.23,0.06,318.67,1206.02,50.11,1348.10,42.69,44.98,203.25,1465.67,55.51
1710.50,0.00,35.71,0.30,58.17,0.07,13.58,131.38,3.02,32.04,38.19,0.06,346.20,1196.67,44.25,1413.81,34.40,43.49,203.25,1527.63,51.85
1740.50,0.00,29.30,0.30,45.57,0.00,13.58,132.67,3.02,32.04,53.84,0.06,370.90,1209.55,47.30,1446.39,66.53,44.94,203.25,1523.24,48.69
1770.50,0.00,30.21,0.30,29.91,0.00,13.58,119.16,3.02,32.04,51.88,0.06,348.01,1200.07,45.23,1461.00,76.94,44.86,203.25,1541.30,55.85
1800.50,0.00,30.21,0.30,26.25,0.00,13.58,118.85,3.02,32.04,65.05,0.06,355.41,1189.71,48.13,1519.82,71.56,44.78,695.63,1574.52,50.83
1830.50,0.00,30.21,0.30,37.69,0.00,13.58,127.92,3.02,32.04,66.83,0.06,369.78,1197.27,48.13,1523.99,101.90,44.90,303.37,1578.09,49.68
1860.50,0.00,30.21,0.30,27.31,0.03,13.58,143.48,3.02,32.04,68.87,0.06,361.49,1194.95,47.12,1591.57,92.82,44.90,782.18,1561.47,45.75
1890.00,0.00,30.21,0.30,39.37,0.00,13.58,125.89,3.02,72.33,63.99,0.06,348.72,1248.63,47.12,1613.62,113.42,42.94,693.00,1569.28,47.95
1919.50,0.00,30.21,0.30,27.92,0.03,13.58,99.39,3.02,72.33,71.37,0.06,393.38,1343.45,38.27,1651.24,112.29,42.94,353.52,1565.18,48.40
1950.00,0.00,30.21,0.30,31.28,0.00,13.58,130.11,3.02,101.62,81.31,0.06,375.98,1430.49,34.44,1742.16,117.45,48.47,689.40,1583.50,46.20
1979.50,0.00,22.43,0.30,31.28,0.00,13.58,123.60,3.02,204.17,119.55,0.06,373.13,1473.11,27.59,1861.25,165.96,41.73,777.35,1549.17,39.45
2009.50,0.00,22.43,0.30,31.28,0.03,13.58,147.59,3.02,328.48,394.70,0.06,422.27,1360.73,27.71,1904.49,211.95,39.08,518.61,1553.11,39.98
2040.50,0.00,22.43,0.30,40.44,0.03,13.58,428.68,3.02,433.66,570.76,0.06,430.81,1304.89,27.31,1918.62,191.27,39.08,590.86,1506.43,43.40
2070.50,0.00,22.43,0.30,40.44,0.00,13.58,607.04,3.02,433.66,612.19,0.06,444.28,1167.31,28.08,1915.24,118.10,33.85,433.53,1468.63,46.27
2100.50,0.00,22.43,0.30,48.22,0.00,13.58,658.04,3.02,439.15,674.57,0.06,457.92,860.91,28.08,1781.89,121.67,33.69,865.62,1339.22,35.49
2130.50,0.00,22.28,0.30,42.42,0.00,13.58,573.81,3.02,462.35,608.07,0.06,432.75,729.40,15.69,1706.18,55.46,31.19,517.46,1561.20,30.18
2160.50,0.00,22.28,0.30,53.71,0.03,13.58,468.64,3.02,462.35,540.72,0.06,372.62,740.06,13.86,1612.81,55.46,34.12,773.14,1528.32,19.96
2190.50,0.00,22.28,0.30,35.40,0.03,13.58,385.32,3.02,533.76,575.39,0.06,357.67,730.91,12.96,1418.22,55.46,24.93,920.05,1229.98,12.02
2220.50,0.00,22.28,0.30,25.33,0.00,13.58,382.59,3.02,533.76,578.15,0.06,350.14,761.10,12.96,1257.47,55.46,23.46,887.65,1255.38,11.68
2250.50,0.00,22.28,0.30,22.58,0.03,13.58,279.00,3.02,574.65,447.39,0.06,358.79,393.63,10.99,1196.25,55.46,18.55,892.74,1300.60,6.99
2280.50,0.00,22.28,0.30,23.04,0.00,13.58,257.72,3.02,529.49,369.27,0.06,224.71,194.90,10.99,799.32,55.46,16.63,1010.26,1179.58,6.99
2310.50,0.00,22.28,0.30,22.28,0.22,13.58,177.17,2.96,529.49,340.12,0.06,228.88,101.78,10.99,299.57,55.46,18.01,1002.26,891.97,6.99
