Time,214-VF,209-VF,208-VF,207-VF,307-VF,305-VF,304-VF,302-VF,301-VF,202-VF
s,m3/s,m3/s,m3/s,m3/s,m3/s,m3/s,m3/s,m3/s,m3/s,m3/s
0.0,-189.0,-181.9,-181.9,-173.3,-179.4,-171.9,-184.2,-66.8,-210.1,-179.8
5.5,-177.9,-171.5,-170.9,-163.4,-168.4,-161.2,-209.5,-56.9,-212.4,-181.5
25.0,-147.3,-158.3,-155.8,-148.3,-154.6,-146.6,-225.3,3.3,-201.6,-177.5
55.5,-145.0,-146.5,-145.0,-137.9,-143.0,-135.8,-230.0,27.3,-197.2,-172.1
86.5,-133.5,-135.7,-135.5,-131.6,-133.9,-130.4,-229.4,25.2,-193.4,-160.9
116.5,-130.0,-132.5,-132.2,-128.0,-133.3,-131.3,-211.1,-84.4,-181.6,-156.9
146.5,-127.8,-132.5,-133.7,-125.7,-132.3,-132.9,-214.0,-97.8,-180.9,-155.5
175.5,-126.9,-130.2,-132.3,-124.3,-130.4,-130.3,-213.9,-75.6,-177.3,-155.6
204.5,-130.5,-129.7,-130.0,-124.3,-130.7,-128.4,-209.1,29.5,-185.8,-156.7
235.5,-131.9,-128.2,-127.2,-120.3,-126.7,-127.6,-203.7,-92.2,-179.2,-155.2
266.5,-123.7,-124.1,-125.3,-120.4,-122.4,-125.0,-208.4,1.8,-174.3,-150.5
295.5,-123.4,-123.8,-122.9,-119.2,-123.4,-124.5,-210.9,-83.4,-179.9,-149.3
325.0,-125.8,-122.1,-123.6,-116.5,-121.3,-122.2,-206.0,37.6,-170.7,-148.1
355.5,-121.6,-119.0,-120.2,-114.6,-119.3,-123.7,-206.4,0.1,-164.5,-147.6
385.5,-121.5,-116.0,-118.7,-111.6,-117.4,-120.0,-199.2,6.5,-163.6,-144.9
415.5,-117.8,-118.1,-118.2,-113.7,-117.2,-119.8,-194.6,2.4,-171.7,-144.0
446.0,-117.9,-116.0,-116.2,-112.7,-115.8,-117.3,-194.6,-70.6,-167.7,-144.1
476.5,-114.7,-117.4,-116.2,-111.8,-113.4,-115.2,-193.8,-83.6,-177.0,-144.8
506.5,-118.5,-118.3,-116.9,-112.8,-116.7,-117.1,-192.8,-64.3,-167.3,-145.0
536.5,-133.6,-132.1,-133.6,-130.9,-133.7,-132.8,-201.6,28.8,-166.9,-157.7
566.5,-141.6,-137.3,-140.0,-131.8,-138.6,-139.1,-227.6,-82.7,-199.7,-173.7
596.5,-142.9,-139.7,-140.9,-133.5,-139.4,-141.3,-229.4,-75.4,-210.4,-175.2
626.5,-138.6,-139.4,-141.6,-132.5,-140.0,-139.5,-231.6,-66.9,-202.1,-176.6
656.5,-145.6,-141.4,-143.9,-138.3,-140.6,-139.7,-229.9,-87.1,-198.8,-182.3
686.5,-145.0,-140.4,-142.7,-135.3,-139.5,-139.5,-236.9,-85.4,-196.5,-177.6
716.5,-144.4,-141.3,-142.0,-136.0,-140.5,-139.3,-233.5,-86.7,-198.6,-179.0
746.5,-143.9,-143.3,-142.6,-134.9,-140.6,-140.0,-235.9,-73.6,-209.6,-174.8
