Time,CT214J3,CT214F2,CT209H2,CT209F2,CT209C2,CT207H2,CT207F2,CT207C2,CT307H2,CT307F2,CT307C2,CT302H2,CT302F2,CT302C2,CT301H2,CT301F2,CT301C2,CT202J3,CT202F2,CT202C2
s,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm
0.00,0.00,0.30,793.90,70.68,0.00,0.30,0.30,0.00,410.47,0.00,0.00,0.30,84.59,0.00,326.14,50.81,6.41,419.96,2461.95,3.30
7.00,0.00,0.30,819.41,70.60,0.00,0.30,0.30,0.00,428.17,0.00,0.00,0.30,88.70,0.00,308.49,48.22,7.91,423.28,2449.26,5.82
27.00,0.00,0.30,784.01,64.44,0.00,0.30,0.30,0.00,428.17,0.00,0.00,0.30,103.46,0.00,234.47,39.22,4.94,97.76,2460.72,0.43
57.00,0.00,0.30,792.63,83.62,0.00,0.30,0.30,0.00,428.17,28.89,0.00,0.30,146.49,0.00,200.26,39.22,2.94,248.29,2456.46,5.10
88.50,0.00,0.30,806.69,62.23,0.00,0.30,0.30,0.00,468.45,41.08,0.00,0.30,167.67,0.00,112.57,39.22,3.14,201.77,2499.38,12.76
117.50,0.00,0.30,823.68,97.84,0.00,0.30,0.30,0.00,468.45,47.43,0.00,0.30,389.33,0.00,62.23,39.22,6.44,201.77,2682.41,24.16
147.50,0.00,0.30,799.04,84.66,0.00,0.30,0.30,0.00,494.90,48.93,0.00,0.30,575.18,0.00,163.32,39.22,6.90,201.77,2862.90,24.16
178.50,0.00,0.30,808.22,82.61,0.00,0.30,0.30,0.00,494.90,57.22,0.00,39.47,602.83,0.00,280.81,39.22,12.82,201.77,2936.69,25.76
208.50,0.00,0.30,829.05,104.42,0.00,0.30,0.30,0.00,550.85,48.52,0.00,72.24,629.79,0.00,237.12,39.22,20.96,201.77,2965.44,28.40
238.50,0.00,0.30,830.31,91.30,0.00,0.30,0.30,0.00,550.85,73.85,0.00,48.32,642.68,0.00,210.27,39.22,23.40,201.77,2964.67,31.09
267.50,0.00,0.30,815.06,94.06,0.00,0.30,0.30,0.00,594.80,83.31,0.00,48.52,662.73,0.00,184.10,39.22,22.89,201.77,2960.32,30.26
297.50,0.00,0.30,842.11,113.48,0.00,0.30,0.30,0.00,594.80,87.86,0.00,37.77,660.67,0.00,166.07,39.22,24.23,201.77,2982.31,33.63
328.50,0.00,0.30,826.20,96.35,0.00,0.30,0.30,0.00,594.80,110.90,0.00,56.34,646.49,0.00,142.20,39.22,22.64,201.77,3005.31,29.68
358.50,0.00,0.30,841.26,103.13,0.00,0.30,0.30,0.00,642.40,106.63,0.00,55.01,666.99,0.00,140.15,39.22,25.24,201.77,2995.23,33.91
