Time,TIWC202G,TIWC202F,TIWC202E,TIWC202D,TIWC202C,TIWC202B,TIWC202A,TINC301H,TINC301G,TINC301F,TINC301E,TINC301D,TINC301C,TINC301B,TINC301A,TINC302H,TINC302G,TINC302F,TINC302E,TINC302D,TINC302C,TINC302B,TINC302A,TINC303H,TINC303G,TINC303F,TINC303E,TINC303D,TINC303C,TINC303B,TINC303A,TINC304H,TINC304G,TINC304F,TINC304E,TINC304D,TINC304C,TINC304B,TINC304A,TINC205H,TINC205G,TINC205F,TINC205E,TINC205D,TINC205C,TINC205B,TINC205A,TINC305H,TINC305G,TINC305F,TINC305E,TINC305D,TINC305C,TINC305B,TINC305A,TINC306H,TINC306G,TINC306F,TINC306E,TINC306D,TINC306C,TINC306B,TINC306A,TINC307H,TINC307G,TINC307F,TINC307E,TINC307D,TINC307C,TINC307B,TINC307A,TINC207H,TINC207G,TINC207F,TINC207E,TINC207D,TINC207C,TINC207B,TINC207A,TINC208H,TINC208G,TINC208F,TINC208E,TINC208D,TINC208C,TINC208B,TINC208A,TINC209H,TINC209G,TINC209F,TINC209E,TINC209D,TINC209C,TINC209B,TINC209A,TINC211H,TINC211G,TINC211F,TINC211E,TINC211D,TINC211C,TINC211B,TINC211A,TINC213H,TINC213G,TINC213F,TINC213E,TINC213D,TINC213C,TINC213B,TINC213A,TIWC214G,TIWC214F,TIWC214E,TIWC214D,TIWC214C,TIWC214B,TIWC214A
s,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
0.00,8.44,8.11,7.95,7.82,8.56,7.69,7.37,10.66,10.49,10.29,10.44,10.32,10.06,8.26,8.18,10.54,10.14,10.49,10.75,10.21,10.21,9.83,9.44,23.24,19.07,13.26,10.77,10.70,10.44,9.96,9.86,45.83,34.14,16.79,12.80,13.12,13.02,12.12,10.47,42.10,29.51,20.14,17.69,19.22,20.86,25.31,12.83,40.19,28.11,25.19,12.70,11.89,12.02,12.07,10.43,24.13,22.82,15.97,11.81,10.32,10.54,10.65,10.77,12.28,11.08,10.93,10.75,10.80,10.77,10.77,10.93,11.42,11.23,10.77,10.44,10.44,10.44,10.42,10.62,12.18,11.56,11.20,10.65,11.05,10.85,10.77,10.24,11.23,10.60,10.65,10.93,10.90,10.65,10.47,10.13,12.11,11.46,10.87,10.62,10.27,9.83,9.30,9.44,11.15,11.31,11.18,11.18,10.82,10.72,10.47,10.35,11.38,11.15,10.90,10.57,9.78,8.24,7.57
2.50,8.44,8.11,7.95,7.82,8.56,7.69,7.37,10.66,10.49,10.29,10.44,10.32,10.06,8.26,8.18,34.10,22.61,13.08,10.75,10.21,10.21,9.83,9.44,92.42,75.77,25.70,13.04,12.12,12.14,11.38,9.86,152.08,105.61,59.89,19.46,18.35,18.93,17.22,14.09,173.80,128.43,70.51,47.97,50.90,58.95,68.47,25.60,135.13,80.90,55.67,17.44,15.77,15.69,15.30,13.54,83.82,79.26,33.40,11.81,10.32,11.74,10.65,10.77,49.13,31.44,29.94,16.65,10.80,10.77,10.77,10.93,11.42,11.23,10.77,10.44,10.44,10.44,10.42,10.62,12.18,11.56,11.20,10.65,11.05,10.85,10.77,10.24,11.23,10.60,10.65,10.93,10.90,10.65,10.47,10.13,12.11,11.46,10.87,10.62,10.27,9.83,9.30,9.44,11.15,11.31,11.18,11.18,10.82,10.72,10.47,10.35,11.38,11.15,10.90,10.57,9.78,8.24,7.57
20.00,8.44,8.11,7.95,7.82,8.56,7.69,7.37,26.04,15.29,10.29,10.44,10.32,10.06,8.26,8.18,76.91,60.49,14.63,12.35,10.21,10.21,9.83,9.44,165.96,152.95,77.71,17.53,14.29,13.59,12.85,11.69,237.88,187.56,140.08,44.83,25.03,26.09,23.70,20.04,369.38,276.14,155.73,100.38,101.61,110.76,125.96,47.59,242.96,139.17,91.00,30.54,20.40,21.08,20.01,17.31,169.37,149.22,65.13,14.09,12.59,13.18,12.09,11.99,120.21,66.18,63.73,23.33,12.27,11.89,12.19,12.26,73.48,51.99,35.40,20.41,13.85,10.44,10.42,10.62,12.18,11.56,11.20,10.65,11.05,10.85,10.77,10.24,11.23,10.60,10.65,10.93,10.90,10.65,10.47,10.13,12.11,11.46,10.87,10.62,10.27,9.83,9.30,9.44,11.15,11.31,11.18,11.18,10.82,10.72,10.47,10.35,11.38,11.15,10.90,10.57,9.78,9.63,7.57
50.50,8.44,8.11,7.95,7.82,8.56,7.69,7.37,40.08,17.96,10.29,10.44,10.32,10.06,8.26,8.18,100.97,82.40,21.04,12.35,10.21,10.21,9.83,9.44,191.06,182.49,121.38,27.03,14.29,13.59,12.85,11.69,263.60,225.71,179.60,83.69,29.88,29.99,27.42,25.53,453.04,356.08,230.82,147.38,151.98,161.04,175.39,73.28,271.60,164.24,109.58,51.55,28.16,27.30,25.76,21.23,195.37,184.05,97.87,20.83,12.59,14.58,13.49,13.48,152.84,88.54,84.76,39.60,12.27,11.89,13.62,12.26,110.77,86.31,59.57,29.36,12.85,11.59,10.42,10.62,46.66,39.83,30.61,17.96,14.47,11.92,10.77,10.24,11.23,10.60,10.65,10.93,10.90,10.65,10.47,10.13,12.11,11.46,10.87,10.62,10.27,9.83,9.30,9.44,11.15,11.31,11.18,11.18,10.82,10.72,10.47,10.35,11.38,11.15,10.90,10.57,9.78,9.63,8.53
80.00,8.44,8.11,7.95,7.82,8.56,7.69,7.37,43.61,21.82,10.29,10.44,10.32,10.06,8.26,8.18,105.02,86.34,32.38,12.35,10.21,10.21,9.83,9.44,196.15,189.72,138.92,34.96,14.29,13.59,12.85,11.69,251.19,231.41,189.02,99.47,29.88,28.57,26.74,25.39,428.17,359.56,287.58,232.22,280.65,239.10,236.28,123.63,283.70,184.80,127.93,101.97,38.36,35.96,31.16,26.14,213.06,203.32,137.32,49.19,15.48,16.03,14.91,14.89,169.81,102.44,109.58,60.10,13.67,13.34,13.62,12.26,130.01,107.47,78.38,38.16,12.85,11.59,11.79,11.76,71.32,65.13,46.01,24.67,16.94,11.92,10.77,10.24,26.51,23.16,22.99,20.46,10.90,10.65,10.47,10.13,12.11,11.46,10.87,10.62,10.27,9.83,9.30,9.44,11.15,11.31,11.18,11.18,10.82,10.72,10.47,10.35,11.38,11.15,10.90,10.57,9.78,9.63,10.05
109.50,8.44,8.11,7.95,7.82,8.56,7.69,7.37,43.61,27.10,10.29,10.44,10.32,10.06,8.26,8.18,107.41,88.87,42.29,12.35,10.21,10.21,9.83,9.44,190.85,185.08,142.10,50.38,14.29,13.59,12.85,11.69,241.18,223.98,189.73,106.59,29.03,27.01,26.74,25.39,378.34,345.15,301.43,308.03,447.77,478.15,293.61,178.84,288.95,197.52,135.92,121.70,46.74,42.17,35.40,29.48,223.60,213.93,163.26,81.27,17.65,17.42,14.91,14.89,181.38,114.16,135.79,77.49,15.11,13.34,13.62,13.67,144.25,125.07,98.96,55.40,17.27,11.59,11.79,11.76,87.34,82.31,57.53,29.13,16.94,11.92,10.77,10.24,50.27,45.17,34.91,27.23,16.38,12.59,10.47,10.13,12.11,11.46,10.87,10.62,10.27,9.83,9.30,9.44,11.15,11.31,11.18,11.18,10.82,10.72,10.47,10.35,11.38,11.15,10.90,10.57,9.78,9.63,10.05
138.50,8.44,8.11,7.28,7.82,8.56,7.69,7.37,47.13,29.08,10.29,10.44,10.32,10.06,8.26,8.18,106.16,92.59,46.02,12.35,10.21,10.21,9.83,9.44,185.74,180.01,144.68,57.94,14.29,13.59,12.85,11.69,235.33,219.04,185.74,116.92,32.66,26.37,25.88,24.58,356.22,334.20,304.84,317.76,462.49,582.07,344.27,215.21,290.84,203.65,152.95,123.10,47.14,40.41,31.60,29.48,224.19,213.85,164.41,86.68,19.46,17.42,16.33,14.89,184.41,118.84,143.05,85.91,17.23,13.34,15.04,13.67,149.22,134.21,111.09,68.12,31.97,24.22,23.03,22.28,77.77,71.85,52.82,28.71,15.47,11.92,10.77,10.24,65.57,59.12,46.15,32.98,22.74,12.59,10.47,10.13,30.29,27.73,23.91,19.53,13.50,10.37,9.30,9.44,11.15,11.31,11.18,11.18,10.82,10.72,10.47,10.35,11.38,11.15,10.90,10.57,9.78,9.63,10.05
168.00,8.44,8.11,7.28,7.82,8.56,7.69,7.37,75.90,60.29,31.08,13.67,10.32,10.06,8.26,8.18,137.43,123.50,86.75,25.07,11.69,11.99,11.26,9.44,208.74,197.97,170.59,109.02,25.42,16.86,12.85,11.69,266.61,236.61,204.17,145.80,52.13,37.12,32.06,30.44,362.66,359.21,310.19,280.75,349.25,356.66,282.72,187.48,279.95,201.99,165.62,78.48,31.84,33.80,26.28,25.85,208.07,195.71,145.75,68.61,31.22,18.62,16.33,16.29,166.41,109.54,131.24,88.36,39.20,29.30,19.14,17.49,129.95,121.55,100.09,74.24,59.41,41.46,48.04,40.29,54.45,52.34,38.23,27.15,21.40,20.31,16.89,15.93,47.35,45.75,38.59,29.74,21.39,12.59,10.47,10.13,43.07,40.69,34.26,28.64,18.13,11.97,9.30,9.44,11.15,11.31,11.18,11.18,10.82,10.72,10.47,10.35,8.97,9.61,8.93,9.03,9.78,9.63,8.48
198.50,10.75,13.25,10.55,7.82,8.56,7.69,7.37,124.97,114.08,81.29,29.29,18.09,10.06,9.76,8.18,180.86,167.24,143.10,89.38,32.07,14.54,12.88,11.46,256.33,236.93,203.13,162.52,87.43,38.16,25.24,15.77,349.46,277.09,236.74,191.26,102.76,56.17,44.08,39.52,370.16,365.13,306.60,228.48,235.82,201.85,209.98,136.64,304.12,229.91,197.91,84.58,51.34,35.83,24.34,21.78,221.66,210.49,150.76,84.52,69.05,34.90,25.39,24.87,161.83,105.63,123.48,87.51,54.70,45.84,25.85,23.95,71.59,73.82,56.82,46.53,44.04,35.21,41.95,40.03,38.68,38.89,32.23,25.43,23.23,22.63,21.69,15.93,28.86,28.22,26.46,23.35,17.21,12.73,10.47,10.13,42.04,40.77,36.07,28.64,21.94,11.97,9.30,9.44,11.15,11.31,11.18,11.18,10.82,10.72,10.47,10.35,7.57,8.16,8.93,7.62,8.47,8.21,8.48
