Time,South Central Fans,North Central Fans
s,m3/s,m3/s
0.00,-0.37,0.59
11.50,-0.75,0.58
37.50,0.00,-0.12
68.00,-0.34,0.52
98.00,-0.22,0.96
127.50,1.36,2.05
157.50,49.25,2.05
187.50,63.01,159.08
217.50,63.98,181.63
247.50,63.01,183.24
277.50,62.85,183.95
306.00,61.04,184.64
335.00,61.97,185.30
366.50,60.61,185.09
397.50,61.59,185.69
426.50,62.87,181.81
456.00,64.59,186.10
486.50,64.53,186.64
516.00,62.36,186.36
546.50,62.33,187.01
578.00,62.48,186.17
608.00,62.85,186.13
638.00,62.77,186.13
668.00,62.20,182.12
698.00,60.17,186.20
728.00,62.44,186.02
758.00,60.52,186.30
788.50,61.86,186.81
818.50,63.16,186.13
848.50,60.74,186.44
878.50,62.80,186.78
908.00,62.95,181.70
938.00,61.43,186.04
968.50,60.79,186.23
998.00,62.38,186.03
1028.00,61.26,186.70
1058.50,62.39,186.25
1088.00,63.14,186.69
1117.50,63.46,186.69
1147.50,62.28,182.69
1177.50,62.72,185.83
1207.50,61.66,185.87
1237.00,62.21,186.01
1267.00,62.89,185.98
1297.50,62.56,185.12
1326.50,60.91,185.12
1356.00,59.26,185.59
1386.50,61.36,182.46
1416.50,62.37,185.76
1447.00,62.72,186.71
1477.50,62.77,185.72
1507.00,60.68,186.23
1537.00,61.00,186.17
1566.50,6.55,185.59
1597.00,2.59,185.33
1627.50,1.56,181.72
1657.00,1.05,184.98
1687.00,0.69,186.29
1717.00,0.86,186.03
1747.50,0.48,184.58
1777.50,0.59,185.91
1807.50,0.71,185.87
1837.50,0.40,185.87
1868.00,0.61,181.20
1898.00,31.36,186.12
1928.00,61.82,186.10
1958.00,63.22,185.70
1988.00,62.75,185.70
2017.50,63.25,186.35
2047.50,64.18,186.53
2078.00,62.29,186.53
2108.00,64.67,182.29
2138.00,62.92,185.46
2167.50,62.01,186.27
2197.50,62.31,185.91
2228.00,62.28,185.63
2258.50,63.74,186.61
2288.00,61.11,186.00
2317.50,63.68,186.08
2347.50,62.67,183.27
2377.50,62.65,186.38
2407.50,61.61,187.04
