Time,South Central Fans,North Central Fans
s,m3/s,m3/s
0.00,0.46,-0.45
3.50,0.42,-0.23
21.50,0.01,-0.71
52.00,-0.05,-1.02
82.00,0.22,-0.62
111.50,0.31,-0.07
141.50,-23.52,24.67
171.50,-102.84,93.95
201.50,-112.98,111.95
231.50,-113.11,112.80
261.50,-114.11,113.47
291.50,-113.06,113.59
322.00,-112.81,113.27
352.50,-112.78,112.98
382.00,-113.06,112.82
411.50,-113.45,112.77
441.50,-112.61,112.94
471.50,-112.79,112.74
501.50,-113.12,113.25
531.50,-113.51,113.54
561.50,-113.30,113.33
590.50,-112.92,113.32
620.50,-112.79,113.38
651.50,-113.01,113.23
681.00,-111.93,113.30
710.00,-112.08,113.27
740.50,-113.13,113.25
771.50,-113.09,112.82
801.50,-112.76,112.82
831.50,-112.93,113.03
860.50,-122.86,121.92
890.50,-132.65,131.49
921.50,-133.80,132.94
951.50,-133.44,132.71
981.50,-133.72,133.07
1011.50,-133.45,133.59
1041.50,-133.84,132.99
1071.00,-133.01,133.34
1101.00,-133.37,133.52
1131.50,-133.47,133.12
1161.50,-133.20,132.68
1191.50,-127.92,132.68
1221.50,-130.88,129.09
1251.50,-132.38,132.25
1281.00,-132.84,132.82
1311.00,-133.78,132.49
1341.50,-133.49,132.85
1371.50,-133.27,132.86
1401.50,-132.14,132.88
1431.50,-133.05,132.70
1461.50,-132.85,132.66
1490.00,-133.72,133.19
1518.50,-133.71,132.91
1549.00,-133.60,132.35
1580.50,-133.08,133.36
1611.50,-133.44,132.55
1641.50,-132.95,133.21
1671.50,-133.12,133.87
1701.50,-133.77,133.06
1731.50,-133.46,132.63
1761.50,-133.50,133.39
1791.50,-133.67,133.05
1821.50,-133.29,133.94
1851.50,-133.13,132.90
1881.50,-133.01,132.44
1911.50,-133.12,132.62
1941.50,-133.03,133.34
1971.50,-133.51,132.62
2001.50,-132.72,132.17
2031.50,-133.84,132.57
2061.50,-132.79,132.55
2091.50,-132.26,132.27
2121.50,-133.92,132.64
2151.50,-133.35,132.64
2181.50,-133.11,132.29
2211.50,-133.43,132.50
2241.50,-133.73,132.57
2271.50,-132.94,132.73
2301.50,-134.07,132.15
2331.50,-133.74,133.16
2361.50,-134.07,132.85
2390.00,-134.18,132.85
2420.00,-134.57,132.48
2450.00,-134.36,132.70
2480.00,-135.97,132.14
