Time,TIWC202G,TIWC202F,TIWC202E,TIWC202D,TIWC202C,TIWC202B,TIWC202A,TIWC301G,TIWC301F,TIWC301E,TIWC301D,TIWC301C,TIWC301B,TIWC301A,TIWC302G,TIWC302F,TIWC302E,TIWC302D,TIWC302C,TIWC302B,TIWC302A,TIWC303G,TIWC303F,TIWC303E,TIWC303D,TIWC303C,TIWC303B,TIWC303A,TIWC304G,TIWC304F,TIWC304E,TIWC304D,TIWC304C,TIWC304B,TIWC304A,TIWC205G,TIWC205F,TIWC205E,TIWC205D,TIWC205C,TIWC205B,TIWC205A,TIWC305G,TIWC305F,TIWC305E,TIWC305D,TIWC305C,TIWC305B,TIWC305A,TIWC306G,TIWC306F,TIWC306E,TIWC306D,TIWC306C,TIWC306B,TIWC306A,TIWC307G,TIWC307F,TIWC307E,TIWC307D,TIWC307C,TIWC307B,TIWC307A,TIWC207G,TIWC207F,TIWC207E,TIWC207D,TIWC207C,TIWC207B,TIWC207A,TIWC208G,TIWC208F,TIWC208E,TIWC208D,TIWC208C,TIWC208B,TIWC208A,TIWC209G,TIWC209F,TIWC209E,TIWC209D,TIWC209C,TIWC209B,TIWC209A,TIWC211G,TIWC211F,TIWC211E,TIWC211D,TIWC211C,TIWC211B,TIWC211A,TIWC213G,TIWC213F,TIWC213E,TIWC213D,TIWC213C,TIWC213B,TIWC213A,TIWC214G,TIWC214F,TIWC214E,TIWC214D,TIWC214C,TIWC214B,TIWC214A
s,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
0.00,11.48,11.74,11.69,11.48,12.19,11.20,10.81,11.51,11.38,11.89,11.74,11.20,11.36,11.12,15.20,15.19,14.07,13.64,12.19,11.99,11.27,37.84,40.35,25.23,17.90,14.64,13.51,13.48,107.61,87.65,57.75,27.56,19.59,17.03,14.49,166.94,90.77,71.53,39.69,42.16,62.65,17.51,43.49,38.74,27.00,14.96,14.29,14.23,15.00,12.04,11.92,11.69,11.56,11.64,12.63,12.03,11.53,11.76,11.56,11.48,11.64,11.86,12.30,11.79,11.31,11.03,10.95,11.03,11.05,11.34,11.74,11.94,10.93,11.26,11.26,11.18,10.89,10.37,10.32,10.67,10.60,10.80,10.70,10.58,11.04,10.01,9.97,9.48,9.55,9.55,9.59,9.71,9.88,10.09,9.91,9.73,9.94,9.86,9.63,9.38,9.02,9.02,9.48,9.28,9.03
14.50,11.48,11.74,11.69,11.48,12.19,11.20,10.81,13.06,12.96,11.89,11.74,11.20,11.36,11.12,33.47,33.31,26.11,16.68,14.36,11.99,11.27,119.53,126.78,64.30,30.32,22.45,18.53,17.77,274.30,261.57,206.21,79.58,42.56,32.41,19.18,431.83,289.87,241.55,88.24,96.64,129.77,28.21,134.22,119.68,101.02,27.84,19.05,18.33,19.94,89.76,74.66,41.37,15.24,13.82,14.10,13.48,11.53,11.76,11.56,11.48,11.64,11.86,12.30,11.79,11.31,11.03,10.95,11.03,11.05,11.34,11.74,11.94,10.93,11.26,11.26,11.18,10.89,10.37,10.32,10.67,10.60,10.80,10.70,10.58,11.04,10.01,9.97,9.48,9.55,9.55,9.59,9.71,9.88,10.09,9.91,9.73,9.94,9.86,9.63,9.38,9.02,9.02,9.48,9.28,9.03
43.50,11.48,11.74,11.69,11.48,12.19,11.20,10.81,21.73,19.96,18.15,13.98,11.20,11.36,11.12,71.28,69.68,40.90,21.93,17.27,14.34,12.83,194.24,208.38,111.41,61.87,37.08,29.25,24.13,385.19,382.07,314.21,140.37,77.94,54.41,27.25,605.13,467.86,370.93,136.82,141.19,203.03,42.69,208.40,200.93,198.09,42.11,26.19,23.97,26.72,175.94,154.77,101.01,18.96,16.05,14.10,15.00,15.75,13.18,11.56,11.48,11.64,11.86,12.30,11.79,11.31,11.03,10.95,11.03,11.05,11.34,11.74,11.94,10.93,11.26,11.26,11.18,10.89,10.37,10.32,10.67,10.60,10.80,10.70,10.58,11.04,10.01,9.97,9.48,9.55,9.55,9.59,9.71,9.88,10.09,9.91,9.73,9.94,9.86,9.63,9.38,9.02,9.02,9.48,9.28,9.03
73.50,11.48,11.74,11.69,11.48,12.19,11.20,10.81,32.77,29.81,25.08,16.21,12.70,11.36,11.12,92.04,91.26,52.74,31.86,23.47,17.50,14.35,226.16,241.04,129.00,94.13,52.50,39.92,28.85,441.88,439.77,369.33,183.93,109.08,76.37,37.43,714.28,595.58,455.80,189.58,180.41,274.37,59.35,265.74,263.09,251.78,58.15,35.45,31.31,36.68,221.96,198.22,141.74,22.20,18.44,15.49,16.41,23.79,17.85,12.98,11.48,11.64,11.86,12.30,11.79,11.31,11.03,10.95,11.03,11.05,11.34,11.74,11.94,10.93,11.26,11.26,11.18,10.89,10.37,10.32,10.67,10.60,10.80,10.70,10.58,11.04,10.01,9.97,9.48,9.55,9.55,9.59,9.71,9.88,10.09,9.91,9.73,9.94,9.86,9.63,9.38,9.02,9.02,9.48,9.28,9.03
103.50,11.48,11.74,11.69,11.48,12.19,11.20,10.81,36.81,34.57,28.36,17.78,12.70,12.83,11.12,92.04,94.96,61.75,41.27,30.70,17.50,14.35,230.66,242.42,117.49,107.89,65.48,47.07,28.85,449.95,443.35,361.25,199.93,130.85,91.18,47.51,809.84,656.21,480.72,240.89,226.06,340.12,80.97,313.52,310.00,284.31,77.90,46.39,40.89,47.72,259.33,233.93,174.38,26.90,21.43,16.90,17.91,40.38,26.02,17.31,12.93,11.64,11.86,12.30,13.39,11.31,11.03,10.95,11.03,11.05,11.34,11.74,11.94,10.93,11.26,11.26,11.18,10.89,10.37,10.32,10.67,10.60,10.80,10.70,10.58,11.04,10.01,9.97,9.48,9.55,9.55,9.59,9.71,9.88,10.09,9.91,9.73,9.94,9.86,9.63,9.38,9.02,9.02,9.48,9.28,9.03
133.50,11.48,11.74,11.69,11.48,12.19,11.20,10.81,34.78,33.85,28.36,19.36,12.70,12.83,11.12,90.09,84.90,58.09,44.11,30.70,16.79,14.35,219.29,220.10,100.75,103.07,67.87,43.64,26.42,424.75,406.06,301.64,185.87,134.73,89.78,47.51,829.36,616.97,448.12,296.43,283.17,411.32,104.46,341.22,331.06,283.25,90.30,58.14,49.02,57.71,272.62,251.01,185.24,30.70,24.31,18.31,19.58,56.09,40.60,23.74,12.93,13.03,11.86,12.30,13.39,12.70,11.03,10.95,11.03,11.05,11.34,11.74,11.94,10.93,11.26,11.26,11.18,10.89,10.37,10.32,10.67,10.60,10.80,10.70,10.58,11.04,10.01,9.97,9.48,9.55,9.55,9.59,9.71,9.88,10.09,9.91,9.73,9.94,9.86,9.63,9.38,9.02,9.02,9.48,9.28,9.03
163.50,11.48,11.74,11.69,11.48,12.19,11.20,10.81,31.55,30.80,25.78,17.92,12.70,12.83,11.12,78.08,69.37,52.00,39.52,28.43,16.79,14.35,197.05,174.26,82.16,87.56,57.72,35.92,22.51,386.80,349.88,238.17,152.47,111.75,75.66,46.36,806.94,627.99,435.06,337.28,358.39,479.81,125.78,347.46,325.89,257.25,119.09,70.41,56.98,68.39,263.15,237.22,169.78,34.55,27.25,19.74,21.04,62.10,54.33,26.99,12.93,13.03,11.86,12.30,18.59,16.27,12.78,10.95,11.03,11.05,11.34,13.76,13.39,12.35,12.65,11.26,11.18,10.89,10.37,10.32,10.67,10.60,10.80,10.70,10.58,11.04,10.01,9.97,9.48,9.55,9.55,9.59,11.03,9.88,10.09,9.91,9.73,9.94,9.86,9.63,9.38,9.02,9.02,9.48,9.28,9.03
193.00,11.48,10.34,11.69,11.48,12.19,11.20,10.81,25.70,25.35,22.22,16.41,12.70,12.83,11.12,65.22,54.63,42.48,31.82,21.87,15.37,14.35,177.91,143.46,66.58,68.52,46.23,28.90,19.44,365.85,327.64,209.79,122.62,81.03,58.17,40.88,883.22,703.19,488.31,367.21,428.53,543.83,145.95,375.66,346.42,258.84,155.60,85.44,70.12,84.25,263.95,232.21,150.53,44.03,31.17,21.14,22.47,59.69,60.76,31.73,14.35,13.03,13.26,13.74,29.55,26.55,19.25,13.17,11.03,11.05,11.34,16.75,14.89,14.52,14.35,12.98,11.18,10.89,10.37,10.32,10.67,10.60,10.80,10.70,10.58,11.04,11.42,11.53,10.93,9.55,9.55,9.59,11.03,11.28,10.09,9.91,9.73,9.94,9.86,11.05,9.38,9.02,9.02,9.48,9.28,9.03
222.50,10.06,10.34,10.27,10.06,12.19,11.20,10.81,21.48,19.52,18.93,14.91,12.70,12.83,11.12,50.98,43.20,32.85,23.75,17.28,13.97,14.35,176.95,126.15,54.91,53.22,36.19,23.15,17.17,366.83,340.60,199.33,98.09,57.55,49.29,37.19,832.73,771.44,659.23,458.76,496.77,582.22,170.65,415.27,388.69,310.93,198.87,108.82,87.14,99.43,290.98,263.09,164.50,58.37,35.94,23.25,24.62,63.32,66.62,40.09,16.70,14.45,13.26,13.74,36.86,35.11,27.10,13.17,11.03,11.05,11.34,19.79,17.05,17.35,15.77,12.98,11.18,10.89,10.37,11.71,12.07,12.07,12.25,10.70,10.58,11.04,11.42,11.53,10.93,11.12,9.55,9.59,11.03,11.28,11.48,9.91,9.73,9.94,9.86,11.05,10.85,10.47,9.02,9.48,9.28,9.03
253.00,10.06,10.34,10.27,10.06,10.77,11.20,10.81,18.34,16.59,16.23,14.91,12.70,12.83,11.12,41.53,33.50,26.03,19.27,15.14,13.97,12.94,175.56,113.39,47.40,41.49,28.36,19.33,15.68,362.28,334.07,189.53,84.05,44.50,43.32,34.09,802.26,754.99,692.92,511.60,491.19,580.42,199.30,439.47,414.00,322.16,218.92,126.77,97.40,108.65,304.97,278.29,172.53,68.21,40.74,26.34,26.79,67.76,71.37,42.48,19.16,14.45,13.26,13.74,41.70,40.30,32.46,15.37,12.50,12.45,11.34,22.69,20.01,19.52,17.25,14.40,12.63,10.89,11.74,11.71,12.07,12.07,12.25,10.70,10.58,11.04,11.42,11.53,10.93,11.12,10.96,9.59,11.03,11.28,11.48,11.31,9.73,9.94,9.86,11.05,10.85,10.47,9.02,9.48,9.28,9.03
283.50,10.06,10.34,10.27,10.06,10.77,11.20,10.81,16.18,15.11,14.76,13.46,12.70,12.83,11.12,37.39,27.56,22.00,17.05,15.14,12.58,12.94,176.23,105.68,44.27,33.94,23.60,17.15,15.68,358.09,333.59,188.61,79.16,36.39,39.59,32.40,800.58,743.97,690.39,527.81,498.51,563.39,219.44,456.21,428.02,323.48,221.97,138.35,105.04,111.99,307.67,278.67,168.18,71.54,44.63,26.34,26.79,67.76,71.37,40.25,19.16,15.88,14.66,13.74,41.70,43.40,36.82,17.03,13.95,12.45,12.83,24.94,22.19,21.68,18.69,14.40,12.63,10.89,13.16,13.11,13.57,13.46,12.25,10.70,10.58,12.64,11.42,11.53,10.93,11.12,10.96,9.59,11.03,11.28,11.48,11.31,9.73,9.94,9.86,11.05,10.85,10.47,10.44,9.48,9.28,9.03
