Time,South Central Fans,North Central Fans
s,m3/s,m3/s
0.00,1.33,1.69
1.00,1.33,1.70
16.50,1.08,1.56
46.50,0.58,1.61
76.50,0.50,1.77
105.50,0.81,1.58
135.50,-23.14,-8.96
166.50,-70.22,-63.99
196.50,-80.09,-77.60
226.50,-80.04,-76.82
256.50,-80.22,-78.96
286.50,-79.86,-79.78
315.00,-80.31,-79.73
343.50,-79.89,-79.18
373.50,-79.56,-79.88
405.00,-79.45,-81.18
435.50,-79.58,-80.52
465.50,-79.93,-79.18
496.50,-79.39,-78.81
526.50,-78.85,-78.68
556.50,-79.99,-77.72
586.50,-79.48,-78.58
616.50,-79.51,-80.05
646.50,-79.43,-80.63
676.50,-80.06,-80.85
706.50,-80.04,-79.30
736.50,-83.01,-81.07
766.50,-89.16,-89.82
796.50,-96.00,-94.60
826.50,-103.63,-99.37
856.50,-106.46,-101.65
886.50,-107.64,-107.23
916.50,-111.17,-108.80
946.50,-112.71,-109.97
976.50,-111.50,-108.74
1006.50,-112.13,-110.49
1036.50,-110.74,-111.87
1066.50,-110.61,-111.09
1096.50,-110.43,-111.04
1126.50,-110.90,-111.31
1156.50,-110.64,-110.78
1186.50,-110.32,-109.49
1216.50,-111.10,-111.53
1246.50,-110.73,-111.99
1276.50,-110.46,-111.94
1306.50,-110.10,-112.19
1336.50,-110.25,-111.60
1366.00,-109.82,-110.41
1396.00,-110.79,-112.19
1426.50,-109.63,-112.32
1456.50,-109.90,-109.78
1486.50,-109.87,-113.45
1516.00,-110.56,-112.85
1545.50,-110.08,-112.65
1575.50,-110.40,-113.71
1606.00,-110.23,-112.82
1636.50,-109.35,-110.42
1666.50,-110.41,-110.96
1696.50,-109.97,-111.55
1723.50,-110.69,-110.17
1751.50,-110.24,-111.19
1782.50,-110.63,-110.71
1812.50,-110.50,-111.14
1844.00,-110.45,-113.03
