Time,South Central Fans,North Central Fans
s,C,C
0.00,14.26,15.41
8.00,14.26,15.41
30.50,14.26,15.41
60.00,14.26,15.41
90.00,14.26,15.41
120.50,14.26,15.41
149.50,14.34,15.41
179.50,14.34,15.41
209.50,14.34,19.19
239.00,14.34,23.10
269.50,14.34,24.11
300.00,14.34,24.28
330.00,14.34,24.28
358.50,14.34,24.50
388.00,14.34,24.66
419.50,14.34,25.28
450.00,14.04,25.78
480.00,14.04,25.88
510.00,13.97,26.22
539.50,13.97,26.55
570.00,13.97,26.88
600.50,13.97,26.88
630.00,13.97,27.44
660.00,13.97,27.77
690.50,13.97,27.88
720.50,13.97,28.10
750.50,13.97,28.10
780.50,13.97,28.10
810.50,13.97,28.21
840.50,13.93,28.77
870.50,13.93,29.10
900.50,13.93,29.31
930.50,13.93,29.43
960.50,13.93,29.43
990.50,13.93,29.43
1020.50,13.93,29.54
1049.50,13.93,29.54
1079.50,13.93,29.65
1110.50,13.93,29.76
1140.50,13.93,29.87
1170.50,13.93,30.20
1200.50,13.93,30.92
1230.50,13.93,31.13
1259.50,13.93,31.26
1289.00,13.93,31.26
1320.00,13.93,31.47
1350.50,13.93,31.58
1380.50,13.85,31.58
1410.50,13.85,31.58
1440.50,13.85,31.58
1470.50,13.85,32.02
1500.50,13.85,32.24
1529.00,13.80,32.35
1559.00,13.80,32.35
1590.50,13.80,32.35
1620.50,13.80,32.58
1649.00,13.80,32.69
1677.50,13.80,32.69
1709.00,13.80,32.81
1740.50,13.80,32.69
1770.00,13.80,32.92
1800.00,13.80,33.14
1830.00,13.80,33.47
1860.00,13.80,33.58
1890.50,13.80,33.58
1920.00,13.80,33.58
1950.00,13.80,33.58
1980.50,13.80,33.69
2010.50,13.80,33.69
2040.50,13.80,33.80
2069.50,13.80,33.91
2099.50,13.80,34.02
2130.50,13.80,34.48
2160.00,13.80,34.80
2190.00,13.80,34.80
2220.00,13.80,34.75
2250.00,13.80,33.55
2280.50,13.80,32.27
2309.50,13.80,31.27
2337.00,13.80,30.55
2367.00,13.80,29.54
2399.50,13.73,28.64
2428.00,13.73,28.20
2457.50,13.73,27.42
