Time,214-VF,209-VF,208-VF,207-VF,307-VF,305-VF,304-VF,302-VF,301-VF,202-VF
s,m3/s,m3/s,m3/s,m3/s,m3/s,m3/s,m3/s,m3/s,m3/s,m3/s
0.0,8.1,0.7,1.9,5.7,5.9,7.0,3.2,1.9,4.4,1.5
2.5,10.0,2.9,1.9,6.0,14.1,9.2,-1.8,-4.4,0.3,-3.6
20.0,15.6,6.5,7.6,18.1,21.5,15.1,-2.3,-1.6,4.4,2.7
50.5,26.0,18.0,25.2,33.8,31.5,24.9,8.9,7.4,12.0,12.7
80.0,36.9,29.1,41.1,43.2,47.2,45.1,15.1,18.8,18.1,22.4
109.5,41.8,37.7,48.1,48.0,51.0,45.0,22.2,23.7,23.2,23.8
138.5,27.1,30.0,40.9,41.0,40.5,35.8,17.0,16.3,17.6,4.3
168.0,-19.3,-25.7,-21.6,-45.5,-24.8,-25.5,-45.6,-43.4,-44.0,-50.9
198.5,-100.2,-64.5,-59.6,-103.3,-63.8,-59.9,-92.1,-91.7,-86.4,-110.2
228.5,-110.6,-80.3,-114.4,-98.6,-85.0,-77.2,-110.6,-104.1,-93.3,-124.1
258.5,-116.2,-87.7,-104.2,-109.6,-93.2,-86.8,-126.0,-112.1,-103.7,-128.9
289.0,-123.3,-88.3,-85.6,-108.7,-95.0,-89.7,-155.9,-121.1,-108.1,-132.3
319.0,-126.7,-90.3,-107.0,-106.6,-96.2,-93.8,-153.5,-125.3,-111.4,-139.1
349.0,-124.1,-90.6,-107.8,-113.2,-96.6,-94.6,-153.5,-130.2,-115.2,-135.5
379.5,-124.0,-86.4,-114.5,-118.1,-93.5,-90.7,-153.8,-129.8,-119.2,-135.4
409.5,-114.0,-82.0,-89.2,-111.7,-92.7,-88.6,-148.5,-126.4,-113.3,-133.4
439.5,-111.7,-81.0,-93.5,-115.7,-87.6,-88.0,-144.8,-123.5,-111.4,-130.7
469.5,-104.6,-77.3,-110.7,-90.5,-87.0,-83.7,-141.0,-120.5,-108.1,-127.9
500.0,-102.6,-71.6,-95.3,-93.3,-77.0,-76.2,-136.9,-108.3,-101.2,-122.0
530.5,-96.8,-70.2,-98.2,-112.2,-78.3,-70.5,-131.4,-106.6,-99.8,-116.1
560.0,-103.6,-77.4,-101.4,-93.8,-89.5,-82.8,-134.4,-114.7,-102.4,-123.5
589.5,-147.9,-148.5,-101.5,-124.1,-114.3,-108.7,-184.9,-150.4,-138.0,-153.4
619.5,-175.1,-129.4,-146.0,-103.7,-142.5,-133.2,-212.8,-182.8,-169.1,-194.9
649.5,-178.2,-164.9,-132.0,-146.4,-156.8,-141.5,-235.7,-196.1,-183.3,-204.2
679.5,-178.7,-125.2,-145.4,-123.9,-157.1,-141.5,-237.3,-198.5,-186.8,-211.2
709.5,-184.3,-163.0,-179.2,-141.1,-159.4,-144.1,-234.3,-206.0,-189.1,-216.8
739.5,-182.1,-148.4,-158.7,-142.7,-159.8,-145.8,-232.1,-204.0,-187.6,-220.7
769.5,-187.4,-155.5,-153.5,-116.2,-166.5,-145.3,-233.1,-202.6,-188.6,-218.4
799.5,-186.8,-142.5,-163.9,-157.5,-157.2,-142.6,-232.4,-199.0,-185.9,-215.4
829.5,-186.8,-121.7,-149.2,-124.0,-154.6,-142.4,-232.3,-200.3,-185.0,-215.5
859.5,-180.8,-176.1,-167.6,-132.0,-161.6,-142.5,-226.3,-200.0,-183.6,-215.5
889.5,-180.0,-158.1,-161.8,-142.0,-159.3,-145.4,-233.8,-202.3,-188.8,-220.3
919.5,-214.8,-184.2,-181.9,-177.4,-182.2,-161.7,-256.2,-225.3,-208.9,-249.0
949.5,-216.0,-165.1,-191.7,-183.7,-189.0,-163.9,-268.3,-230.3,-217.2,-253.4
979.5,-224.4,-203.9,-179.1,-195.7,-191.9,-169.0,-266.9,-231.3,-216.9,-257.5
1009.5,-227.0,-174.2,-187.1,-188.7,-186.2,-165.9,-263.9,-226.6,-215.9,-261.3
1039.5,-207.4,-161.7,-172.0,-165.4,-169.7,-152.1,-245.0,-216.8,-203.4,-241.2
1068.5,-194.4,-184.7,-168.9,-138.5,-162.8,-144.2,-234.7,-205.4,-186.9,-228.1
1098.5,-187.5,-149.4,-162.6,-139.8,-158.7,-143.9,-234.8,-203.2,-185.3,-225.8
1129.5,-182.9,-174.4,-142.4,-155.8,-154.6,-144.8,-238.8,-203.2,-189.0,-221.1
1159.5,-187.7,-147.2,-165.3,-148.2,-155.0,-140.9,-236.1,-202.2,-187.3,-218.7
1189.5,-182.7,-149.7,-176.4,-129.0,-150.6,-140.5,-232.0,-201.5,-189.1,-216.4
1219.5,-169.9,-107.3,-152.8,-132.8,-149.8,-138.4,-223.7,-197.4,-181.5,-217.0
1249.5,-174.4,-203.1,-158.5,-141.8,-154.1,-137.7,-226.4,-194.9,-183.2,-209.9
1279.5,-184.1,-144.4,-159.8,-145.4,-156.1,-147.7,-227.1,-201.8,-189.9,-216.0
1309.5,-181.7,-167.7,-142.4,-147.2,-157.0,-145.8,-245.0,-207.0,-190.5,-222.1
1339.5,-179.3,-145.5,-146.9,-140.8,-154.3,-141.7,-234.9,-200.1,-187.7,-213.1
1369.5,-170.2,-117.2,-120.3,-124.1,-138.6,-126.7,-209.5,-183.2,-169.7,-194.7
1399.5,-141.4,-104.4,-123.2,-127.5,-115.9,-117.4,-193.0,-161.3,-153.7,-172.7
1429.5,-134.8,-99.4,-116.1,-101.0,-111.0,-104.2,-188.6,-156.5,-142.5,-165.5
1459.5,-126.0,-95.1,-137.4,-118.3,-106.8,-96.5,-181.9,-148.2,-135.0,-156.6
1489.5,-117.2,-90.3,-107.7,-110.5,-100.5,-100.2,-167.4,-141.6,-129.8,-150.8
1519.5,-113.7,-83.1,-82.5,-91.3,-83.7,-89.7,-153.6,-130.5,-123.1,-142.7
1549.5,-108.9,-80.4,-114.6,-117.9,-85.2,-84.6,-156.0,-126.8,-116.6,-140.8
1579.5,-102.7,-76.0,-82.3,-99.3,-87.6,-81.9,-142.1,-122.5,-111.8,-129.6
1609.5,-100.0,-73.0,-75.5,-120.7,-81.1,-78.9,-139.0,-112.9,-105.0,-126.4
