Time,Loop 214,Loop 209,Loop 208,Loop 207,Loop 307,Loop 305,Loop 304,Loop 302,Loop 301,Loop 202
s,m3/s,m3/s,m3/s,m3/s,m3/s,m3/s,m3/s,m3/s,m3/s,m3/s
0.00,-34.84,-38.08,-31.02,-27.68,-30.91,-29.15,-38.78,-49.80,-41.53,-51.83
14.00,-27.81,-28.57,-23.66,-21.10,-22.52,-20.34,-42.74,-47.81,-34.75,-46.45
42.50,-20.96,-20.54,-16.08,-16.17,-21.91,-7.57,-37.86,-40.43,-22.39,-34.10
72.50,-16.40,-15.16,-11.12,-13.79,-19.34,2.23,-34.55,-37.23,-16.69,-26.44
102.50,-7.61,-9.42,-5.60,-13.18,-10.76,10.00,-21.44,-31.53,-6.51,-13.61
132.50,-9.67,-4.75,-2.09,-7.10,-0.91,21.36,-9.61,-14.81,7.75,7.64
162.50,-62.69,-17.03,-1.97,2.59,8.50,68.95,33.44,54.98,58.90,78.49
192.50,-89.09,-41.22,-13.31,4.81,10.35,84.39,45.79,57.88,65.36,87.51
222.50,-102.51,-61.36,-27.14,-7.42,0.16,67.61,32.00,40.87,53.62,75.71
252.50,-114.70,-79.79,-41.93,-21.77,-10.53,47.96,17.61,21.26,41.66,63.23
282.50,-115.45,-89.22,-52.01,-28.86,-16.83,39.01,6.50,9.28,33.70,58.09
312.50,-113.22,-91.05,-54.19,-29.16,-19.37,35.70,2.61,5.43,30.95,58.87
342.50,-118.38,-88.55,-50.93,-29.46,-19.62,36.36,1.34,2.74,29.98,57.68
372.50,-120.54,-89.33,-50.70,-29.91,-21.48,34.32,1.18,1.71,29.41,57.30
402.50,-114.51,-82.63,-44.27,-25.13,-16.95,41.09,4.90,9.82,32.85,63.00
432.50,-111.60,-73.02,-33.32,-17.05,-10.63,52.29,11.71,21.60,40.15,62.83
461.50,-105.39,-64.42,-27.78,-13.90,-5.37,62.26,16.11,29.21,45.98,65.60
491.50,-109.69,-66.29,-30.11,-17.40,-7.86,60.94,14.05,24.55,42.86,64.37
522.50,-108.31,-70.24,-33.15,-20.05,-11.60,58.32,11.80,20.73,41.12,61.22
552.50,-109.39,-70.76,-33.44,-19.78,-10.45,59.17,11.08,21.48,40.33,60.31
582.50,-105.59,-70.34,-32.09,-18.39,-9.55,61.46,12.52,22.52,40.98,63.38
612.50,-100.80,-66.90,-31.19,-17.92,-9.76,63.06,12.75,23.62,42.34,64.50
641.50,-109.41,-69.08,-32.85,-20.61,-10.97,60.03,12.30,21.86,40.71,60.76
671.50,-115.00,-75.98,-38.87,-25.01,-15.08,54.22,6.84,14.49,37.31,55.65
702.50,-114.97,-79.16,-42.15,-26.95,-16.75,47.46,3.80,11.61,34.03,55.69
732.50,-109.33,-72.08,-36.10,-21.71,-12.41,56.02,9.04,18.25,37.90,61.81
762.50,-106.36,-68.43,-31.91,-18.45,-10.78,62.29,12.35,22.78,41.04,62.32
792.50,-110.72,-72.51,-35.38,-21.82,-14.24,57.63,8.97,16.30,37.57,59.00
822.50,-111.78,-75.01,-38.20,-23.01,-14.61,52.91,8.00,15.32,36.38,59.48
852.50,-104.83,-69.12,-34.66,-20.06,-11.85,59.68,12.12,20.93,40.56,66.02
879.50,-102.18,-61.33,-27.06,-13.66,-4.33,67.38,17.38,27.74,44.91,70.56
908.00,-94.54,-55.96,-22.64,-11.63,-2.65,69.36,18.36,30.81,47.12,68.74
939.50,-122.93,-74.06,-29.34,-7.14,0.76,100.07,40.49,62.73,72.97,103.26
970.00,-125.11,-82.16,-34.17,-11.86,0.19,90.40,35.80,52.91,68.89,94.52
999.50,-129.71,-85.65,-36.47,-13.28,-3.04,85.04,31.16,47.81,64.19,92.46
1029.50,-134.35,-87.04,-38.32,-15.84,-5.55,81.93,28.73,47.41,64.34,93.77
1060.50,-134.48,-90.87,-41.78,-19.68,-7.74,76.19,25.39,42.66,59.75,90.42
1091.00,-139.87,-92.75,-42.99,-20.81,-9.04,74.52,22.22,40.65,58.44,86.82
1120.00,-141.91,-95.41,-45.80,-22.95,-12.40,71.81,20.83,37.14,55.78,82.77
1149.50,-138.26,-99.01,-48.19,-25.50,-14.48,65.12,17.07,35.48,52.06,88.62
1181.50,-137.92,-98.87,-48.10,-25.13,-14.59,63.74,16.96,34.54,51.47,84.65
